hood.name,tract.fips,pct.of.tract
Sunland,06037101110,5.176733632348539e-7
Tujunga,06037101110,0.9999994823266345
Angeles National Forest,06037101122,0.0029580966362809046
Sunland,06037101122,0.021997840874197185
Tujunga,06037101122,0.9750440624894857
Sunland,06037101210,1.4071653695265114e-11
Tujunga,06037101210,0.999999999985942
Tujunga,06037101220,1
Angeles National Forest,06037101300,0.0016707365639070518
Glendale,06037101300,0.0018111002409159564
Sun Valley,06037101300,4.609417657805885e-6
Tujunga,06037101300,0.9965135537775146
Sun Valley,06037101400,0.0017229451824814516
Sunland,06037101400,0.001111202771415094
Tujunga,06037101400,0.9971658520460775
Sun Valley,06037102103,1
Burbank,06037102104,0.0050989403686433794
Sun Valley,06037102104,0.9949010596313481
Sun Valley,06037102105,1
Shadow Hills,06037102107,0.001319011889882507
Sun Valley,06037102107,0.3562262885743761
Sunland,06037102107,0.6411342018763163
Tujunga,06037102107,0.0013204976594389831
Angeles National Forest,06037103101,1.955631537584314e-6
Lakeview Terrace,06037103101,0.0030503397228435936
Sunland,06037103101,0.9907686935710023
Tujunga,06037103101,0.0061790110746211095
Sunland,06037103102,0.7896789669035619
Tujunga,06037103102,0.21032103309642014
Angeles National Forest,06037103200,3.24585005055759e-4
Kagel/Lopez Canyons,06037103200,0.09633874238770927
Lakeview Terrace,06037103200,0.45859816425447864
Shadow Hills,06037103200,1.2459589757429e-4
Sunland,06037103200,0.4446139124551811
Lakeview Terrace,06037103300,0.0035555794779673607
Shadow Hills,06037103300,0.9935207101221967
Sun Valley,06037103300,5.725871982748681e-4
Sunland,06037103300,0.0023511232015604364
Shadow Hills,06037103400,3.331427405205285e-10
Sunland,06037103400,0.9942920525425236
Tujunga,06037103400,0.005707947124326239
Lakeview Terrace,06037104103,0.9999999163433267
Pacoima,06037104103,8.365666720518902e-8
Lakeview Terrace,06037104105,3.7417025195274166e-4
Pacoima,06037104105,0.9996258297480413
Lakeview Terrace,06037104108,0.38187583339921505
Pacoima,06037104108,0.6181241666007866
Angeles National Forest,06037104124,9.68562843042367e-6
Kagel/Lopez Canyons,06037104124,0.6533982557671234
Lakeview Terrace,06037104124,0.34654485656547984
Sunland,06037104124,4.720203897618356e-5
Lakeview Terrace,06037104201,8.934800074472725e-10
Pacoima,06037104201,0.9962487924531538
San Fernando,06037104201,0.0037511839863142438
Sylmar,06037104201,2.2667073575935533e-8
Pacoima,06037104203,1
Kagel/Lopez Canyons,06037104204,0.041938866744805486
Lakeview Terrace,06037104204,0.8256134057008895
Pacoima,06037104204,0.13244714483162193
Sylmar,06037104204,5.827226852056538e-7
Mission Hills,06037104310,4.552871611670698e-4
Pacoima,06037104310,0.998837265646091
San Fernando,06037104310,7.074471927073313e-4
Pacoima,06037104320,1
Mission Hills,06037104401,1.599132238849074e-8
Pacoima,06037104401,0.9999999840086924
Arleta,06037104403,3.304576488671247e-6
Mission Hills,06037104403,8.489043577246264e-4
Pacoima,06037104403,0.9991477910657595
Pacoima,06037104404,1
Pacoima,06037104500,1
Pacoima,06037104610,1
Pacoima,06037104620,1
Pacoima,06037104701,1
Lakeview Terrace,06037104703,0.002339507697071359
Pacoima,06037104703,0.9976515124755411
Sun Valley,06037104703,8.97982738968982e-6
Lakeview Terrace,06037104704,1.5028492394414251e-6
Pacoima,06037104704,0.9999984971507572
Pacoima,06037104810,0.9999818171064463
Sun Valley,06037104810,1.8182893529353775e-5
Pacoima,06037104821,0.9999990633870041
Sun Valley,06037104821,9.366129775908803e-7
Arleta,06037104822,4.206588089600101e-5
Pacoima,06037104822,0.9999159364719756
Sun Valley,06037104822,4.1997647163465136e-5
Angeles National Forest,06037106010,7.625828211257993e-4
Sylmar,06037106010,0.9992374171788849
Angeles National Forest,06037106020,1.7950239652168552e-6
Sylmar,06037106020,0.9999982049760082
Angeles National Forest,06037106111,0.008952971684033218
Kagel/Lopez Canyons,06037106111,0.26433696018427727
Sylmar,06037106111,0.7267100681317272
Kagel/Lopez Canyons,06037106112,0.003449642132240474
Lakeview Terrace,06037106112,1.0227362799658331e-7
Pacoima,06037106112,0.002521809948167982
San Fernando,06037106112,2.169664173481502e-6
Sylmar,06037106112,0.9940262759817484
Sylmar,06037106113,1
San Fernando,06037106114,0.017436940942245235
Sylmar,06037106114,0.9825630590578015
Sylmar,06037106403,1
Sylmar,06037106405,1
Sylmar,06037106406,1
Sylmar,06037106407,1
Sylmar,06037106408,1
Angeles National Forest,06037106510,4.166199883516114e-5
Granada Hills,06037106510,0.0015198347414494807
Newhall,06037106510,2.9480142903769478e-5
Sylmar,06037106510,0.9984090231168276
Granada Hills,06037106520,1.2303143729586237e-4
Sylmar,06037106520,0.9998769685627085
Granada Hills,06037106603,0.6734147656757321
Newhall,06037106603,4.328460725999904e-5
Porter Ranch,06037106603,1.6498681943344e-5
Stevenson Ranch,06037106603,0.32501410412933524
Sylmar,06037106603,0.001270705770972769
Twin Lakes/Oat Mountain,06037106603,2.4064113475621114e-4
Granada Hills,06037106604,0.49492706723652014
Sylmar,06037106604,0.5050729327635007
Granada Hills,06037106641,1
Granada Hills,06037106642,1
Granada Hills,06037106643,0.9995250985655237
Porter Ranch,06037106643,4.7490143448465356e-4
Granada Hills,06037106645,1
Granada Hills,06037106646,1
San Fernando,06037106648,0.008973919970905919
Sylmar,06037106648,0.9910260800290853
Granada Hills,06037106649,5.663341655204972e-4
Mission Hills,06037106649,0.014049965708980854
San Fernando,06037106649,4.930731373409576e-4
Sylmar,06037106649,0.984890626988203
Sylmar,06037107010,1
San Fernando,06037107020,0.00158793724455614
Sylmar,06037107020,0.9984120627554557
Porter Ranch,06037108101,1
Porter Ranch,06037108102,1
Granada Hills,06037108103,0.007216701974441992
Porter Ranch,06037108103,0.9927832980255759
Granada Hills,06037108104,4.0394872519089336e-8
Porter Ranch,06037108104,0.9961222848212127
Twin Lakes/Oat Mountain,06037108104,0.0038776747839051736
Chatsworth,06037108201,0.0031555361473749807
Porter Ranch,06037108201,0.995819046874818
Twin Lakes/Oat Mountain,06037108201,0.0010254169778798749
Chatsworth,06037108202,1.5296104776544613e-4
Porter Ranch,06037108202,0.9605383878025767
Twin Lakes/Oat Mountain,06037108202,0.0393086511496762
Granada Hills,06037109100,0.0025592980510639623
Mission Hills,06037109100,0.9965366885601975
Sylmar,06037109100,9.040133887298351e-4
Granada Hills,06037109200,0.9995621841642014
Mission Hills,06037109200,4.378158357827052e-4
Granada Hills,06037109300,0.9987268332644597
Mission Hills,06037109300,0.0012731667355301082
Mission Hills,06037109400,1
Mission Hills,06037109500,0.9952357754180621
Pacoima,06037109500,0.0040627661025101035
San Fernando,06037109500,2.9071251330836347e-4
Sylmar,06037109500,4.107459661439213e-4
Arleta,06037109601,0.002588287514634003
Mission Hills,06037109601,0.9974113822567588
North Hills,06037109601,3.2635857828760336e-7
Pacoima,06037109601,3.870020815329989e-9
Mission Hills,06037109603,0.999947313711104
North Hills,06037109603,5.2686288884287494e-5
