date,hosp
2020-03-29,1306
2020-03-30,1624
2020-03-31,1855
2020-04-01,1916
2020-04-02,2176
2020-04-03,2285
2020-04-04,2383
2020-04-05,2509
2020-04-06,2611
2020-04-07,2714
2020-04-08,2825
2020-04-09,2897
2020-04-10,2846
2020-04-11,2917
2020-04-12,3015
2020-04-13,3124
2020-04-14,3171
2020-04-15,3141
2020-04-16,3180
2020-04-17,3221
2020-04-18,3196
2020-04-19,3257
2020-04-20,3365
2020-04-21,3357
2020-04-22,3343
2020-04-23,3344
2020-04-24,3343
2020-04-25,3324
2020-04-26,3372
2020-04-27,3455
2020-04-28,3495
2020-04-29,3497
2020-04-30,3428
2020-05-01,3423
2020-05-02,3318
2020-05-03,3284
2020-05-04,3369
2020-05-05,3334
2020-05-06,3319
2020-05-07,3250
2020-05-08,3282
2020-05-09,3218
2020-05-10,3248
2020-05-11,3284
2020-05-12,3301
2020-05-13,3261
2020-05-14,3157
2020-05-15,3126
2020-05-16,3025
2020-05-17,3037
2020-05-18,3073
2020-05-19,3047
2020-05-20,3048
2020-05-21,3007
2020-05-22,3024
2020-05-23,2980
2020-05-24,3015
2020-05-25,3065
2020-05-26,3114
2020-05-27,3091
2020-05-28,3016
2020-05-29,2928
2020-05-30,2940
2020-05-31,2973
2020-06-01,3038
2020-06-02,3090
2020-06-03,3109
2020-06-04,3142
2020-06-05,3181
2020-06-06,3138
2020-06-07,3184
2020-06-08,3257
2020-06-09,3240
2020-06-10,3177
2020-06-11,3222
2020-06-12,3191
2020-06-13,3092
2020-06-14,3103
2020-06-15,3335
2020-06-16,3421
2020-06-17,3439
2020-06-18,3428
2020-06-19,3494
2020-06-20,3574
2020-06-21,3702
2020-06-22,3868
2020-06-23,4095
2020-06-24,4240
2020-06-25,4380
2020-06-26,4494
2020-06-27,4577
2020-06-28,4776
2020-06-29,5077
2020-06-30,5196
2020-07-01,5355
2020-07-02,5506
2020-07-03,5595
2020-07-04,5669
2020-07-05,5790
2020-07-06,5989
2020-07-07,6100
2020-07-08,6126
2020-07-09,6171
2020-07-10,6357
2020-07-11,6322
2020-07-12,6485
2020-07-13,6745
2020-07-14,6786
2020-07-15,6777
2020-07-16,6808
2020-07-17,6894
2020-07-18,6899
2020-07-19,6921
2020-07-20,7091
2020-07-21,7170
2020-07-22,6825
2020-07-23,6952
2020-07-24,6895
2020-07-25,6912
2020-07-26,6935
2020-07-27,6896
2020-07-28,6939
2020-07-29,6753
2020-07-30,6630
2020-07-31,6477
2020-08-01,6362
2020-08-02,6399
2020-08-03,6302
2020-08-04,6184
2020-08-05,6069
2020-08-06,5932
2020-08-07,5746
2020-08-08,5636
2020-08-09,5596
2020-08-10,5549
2020-08-11,5442
2020-08-12,5236
2020-08-13,5189
2020-08-14,5112
2020-08-15,5027
2020-08-16,4975
2020-08-17,5061
2020-08-18,5058
2020-08-19,4890
2020-08-20,4772
2020-08-21,4659
2020-08-22,4561
2020-08-23,4467
2020-08-24,4424
2020-08-25,4365
2020-08-26,4293
2020-08-27,4205
2020-08-28,4072
2020-08-29,3940
2020-08-30,3878
2020-08-31,3849
2020-09-01,3773
2020-09-02,3604
2020-09-03,3513
2020-09-04,3413
2020-09-05,3336
2020-09-06,3308
2020-09-07,3321
2020-09-08,3354
2020-09-09,3288
2020-09-10,3142
2020-09-11,2990
2020-09-12,2869
2020-09-13,2841
2020-09-14,2887
2020-09-15,2821
2020-09-16,2708
2020-09-17,2676
2020-09-18,2663
2020-09-19,2598
2020-09-20,2573
2020-09-21,2632
2020-09-22,2617
2020-09-23,2578
2020-09-24,2474
2020-09-25,2385
2020-09-26,2331
2020-09-27,2317
2020-09-28,2392
2020-09-29,2393
2020-09-30,2369
2020-10-01,2339
2020-10-02,2287
2020-10-03,2283
2020-10-04,2291
2020-10-05,2344
2020-10-06,2323
2020-10-07,2328
2020-10-08,2310
2020-10-09,2264
2020-10-10,2209
2020-10-11,2196
2020-10-12,2226
2020-10-13,2229
2020-10-14,2239
2020-10-15,2245
2020-10-16,2234
2020-10-17,2286
2020-10-18,2241
2020-10-19,2291
2020-10-20,2348
2020-10-21,2351
2020-10-22,2338
2020-10-23,2336
2020-10-24,2254
2020-10-25,2281
2020-10-26,2334
2020-10-27,2342
2020-10-28,2358
2020-10-29,2430
2020-10-30,2525
2020-10-31,2474
2020-11-01,2537
2020-11-02,2602
2020-11-03,2669
2020-11-04,2712
2020-11-05,2765
2020-11-06,2821
2020-11-07,2902
2020-11-08,3001
2020-11-09,3083
2020-11-10,3224
2020-11-11,3300
2020-11-12,3399
2020-11-13,3531
2020-11-14,3683
2020-11-15,3852
2020-11-16,4118
2020-11-17,4309
2020-11-18,4523
2020-11-19,4755
2020-11-20,4989
2020-11-21,5199
2020-11-22,5459
2020-11-23,5844
2020-11-24,6188
2020-11-25,6449
2020-11-26,6647
2020-11-27,6972
2020-11-28,7415
