csa.hood.name,mapla.region.slug,date,confirmed.cases,population,case.rate.100k,days.since.50.cases,days.since.100.cases.per.100k
Acton,antelope-valley,2020-05-27,0,7971,0,,36
Adams-Normandie,south-la,2020-05-27,0,8202,0,,54
Agoura Hills,santa-monica-mountains,2020-05-27,0,20883,0,,43
Agua Dulce,northwest-county,2020-05-27,0,4158,0,,6
Alhambra,san-gabriel-valley,2020-05-27,0,86724,0,36,24
Alsace,south-la,2020-05-27,0,12445,0,,36
Altadena,verdugos,2020-05-27,0,43620,0,36,38
Anaverde,antelope-valley,2020-05-27,0,1508,0,,
Angeles National Forest,angeles-forest,2020-05-27,0,1245,0,,
Angelino Heights,central-la,2020-05-27,0,2502,0,,35
Arcadia,san-gabriel-valley,2020-05-27,0,65735,0,22,14
Arleta,san-fernando-valley,2020-05-27,0,34370,0,37,41
Artesia,southeast,2020-05-27,0,16795,0,,14
Athens Village,south-la,2020-05-27,0,4897,0,,49
Athens-Westmont,south-la,2020-05-27,0,42442,0,37,39
Atwater Village,northeast-la,2020-05-27,0,14666,0,,37
Avalon,harbor,2020-05-27,0,3723,0,,
Avocado Heights,san-gabriel-valley,2020-05-27,0,6775,0,,35
Azusa,san-gabriel-valley,2020-05-27,0,65963,0,34,30
Baldwin Hills,south-la,2020-05-27,0,31125,0,33,44
Baldwin Park,san-gabriel-valley,2020-05-27,0,76769,0,36,29
Bandini Islands,southeast,2020-05-08,0,0,NaN,,
Bassett,san-gabriel-valley,2020-05-27,0,14817,0,8,37
Bel Air,westside,2020-05-27,0,8429,0,,59
Bell,southeast,2020-05-27,0,36332,0,43,46
Bell Gardens,southeast,2020-05-27,0,43071,0,39,40
Bellflower,southeast,2020-05-27,0,77735,0,46,36
Beverly Crest,westside,2020-05-27,0,12525,0,,61
Beverly Hills,westside,2020-05-27,0,34520,0,54,57
Beverlywood,westside,2020-05-27,0,13173,0,,56
Bouquet Canyon,northwest-county,2020-05-27,0,1073,0,,
Boyle Heights,eastside,2020-05-27,0,86884,0,47,37
Boyle Heights*,,2020-05-25,571,,,0,
Bradbury,san-gabriel-valley,2020-05-27,0,1177,0,,18
Brentwood,westside,2020-05-27,0,30955,0,49,60
Brookside,central-la,2020-05-27,0,581,0,,
Burbank,san-fernando-valley,2020-05-27,0,107180,0,54,43
Cadillac-Corning,central-la,2020-05-27,0,7121,0,,40
Calabasas,santa-monica-mountains,2020-05-27,0,24323,0,11,44
Canoga Park,san-fernando-valley,2020-05-27,0,65289,0,49,46
Canyon Country,northwest-county,2020-05-27,0,7728,0,,52
Carson,harbor,2020-05-27,0,93846,0,55,50
Carthay,central-la,2020-05-27,0,14363,0,37,58
Castaic,northwest-county,2020-05-27,0,27191,0,19,19
Castaic*,,2020-05-25,316,,,0,
Central,south-la,2020-05-27,0,38992,0,42,46
Century City,westside,2020-05-27,0,12792,0,,57
Century Palms/Cove,south-la,2020-05-27,0,33766,0,36,39
Cerritos,southeast,2020-05-27,0,50654,0,28,26
Charter Oak,san-gabriel-valley,2020-05-27,0,0,NaN,,
Chatsworth,san-fernando-valley,2020-05-27,0,37061,0,36,42
Cheviot Hills,westside,2020-05-27,0,9171,0,,54
Chinatown,central-la,2020-05-27,0,8021,0,,31
Claremont,pomona-valley,2020-05-27,0,37186,0,,
Cloverdale/Cochran,central-la,2020-05-27,0,14553,0,11,37
Commerce,southeast,2020-05-27,0,13069,0,1,21
Compton,southeast,2020-05-27,0,99904,0,47,37
Country Club Park,central-la,2020-05-27,0,15153,0,35,49
Covina,san-gabriel-valley,2020-05-27,0,65851,0,46,42
Covina (Charter Oak),san-gabriel-valley,2020-05-27,0,13144,0,,26
Crenshaw District,south-la,2020-05-27,0,13829,0,22,46
Crestview,westside,2020-05-27,0,11368,0,37,58
Cudahy,southeast,2020-05-27,0,24347,0,34,41
Culver City,westside,2020-05-27,0,39865,0,33,37
Del Aire,south-bay,2020-05-27,0,4393,0,,51
Del Rey,westside,2020-05-27,0,30254,0,26,47
Del Sur,antelope-valley,2020-05-27,0,2415,0,,32
Desert View Highlands,antelope-valley,2020-05-27,0,2493,0,,28
Diamond Bar,san-gabriel-valley,2020-05-27,0,57515,0,8,
Downey,southeast,2020-05-27,0,114263,0,53,40
Downtown,central-la,2020-05-27,0,27507,0,31,40
Downtown*,,2020-05-25,127,,,0,
Duarte,san-gabriel-valley,2020-05-27,0,26444,0,35,38
Eagle Rock,northeast-la,2020-05-27,0,39589,0,40,43
East Covina,san-gabriel-valley,2020-05-27,0,329,0,,
East Hollywood,central-la,2020-05-27,0,29287,0,43,47
East La Mirada,san-gabriel-valley,2020-05-27,0,5292,0,,40
East Lancaster,antelope-valley,2020-05-27,0,114,0,,
East Los Angeles,eastside,2020-05-27,0,125269,0,51,39
East Pasadena,verdugos,2020-05-27,0,6403,0,,
East Rancho Dominguez,southeast,2020-05-27,0,15308,0,,34
East Whittier,san-gabriel-valley,2020-05-27,0,5306,0,,15
Echo Park,central-la,2020-05-27,0,14256,0,,34
El Camino Village,south-bay,2020-05-27,0,8791,0,,28
El Monte,san-gabriel-valley,2020-05-27,0,117414,0,39,32
El Segundo,south-bay,2020-05-27,0,16786,0,,37
El Sereno,eastside,2020-05-27,0,41808,0,39,42
Elizabeth Lake,antelope-valley,2020-05-27,0,1661,0,,14
Elysian Park,central-la,2020-05-27,0,5712,0,,39
Elysian Valley,central-la,2020-05-27,0,10171,0,1,37
Encino,san-fernando-valley,2020-05-27,0,45172,0,45,47
Exposition,south-la,2020-05-27,0,3326,0,,28
Exposition Park,south-la,2020-05-27,0,44917,0,43,46
Faircrest Heights,central-la,2020-05-27,0,3600,0,,21
Figueroa Park Square,south-la,2020-05-27,0,8721,0,,42
Florence-Firestone,south-la,2020-05-27,0,112150,0,53,43
Franklin Canyon,westside,2020-05-27,0,0,NaN,,
Gardena,south-bay,2020-05-27,0,61310,0,47,46
Glassell Park,northeast-la,2020-05-27,0,31604,0,47,51
Glendale,verdugos,2020-05-27,0,206493,0,58,47
Glendora,san-gabriel-valley,2020-05-27,0,53424,0,22,21
Gramercy Place,south-la,2020-05-27,0,10764,0,11,42
Granada Hills,san-fernando-valley,2020-05-27,0,58191,0,42,39
Green Meadows,south-la,2020-05-27,0,21505,0,29,39
Hacienda Heights,san-gabriel-valley,2020-05-27,0,55926,0,26,23
Hancock Park,central-la,2020-05-27,0,17039,0,43,59
Harbor City,harbor,2020-05-27,0,29070,0,25,37
Harbor Gateway,harbor,2020-05-27,0,43600,0,34,36
Harbor Pines,harbor,2020-05-27,0,2409,0,,18
Harvard Heights,central-la,2020-05-27,0,18035,0,30,45
Harvard Park,south-la,2020-05-27,0,37935,0,37,39
Hawaiian Gardens,harbor,2020-05-27,0,14676,0,,15
Hawthorne,south-bay,2020-05-27,0,91301,0,49,39
Hermosa Beach,south-bay,2020-05-27,0,19670,0,,37
Hi Vista,antelope-valley,2020-05-27,0,1098,0,,
Hidden Hills,santa-monica-mountains,2020-05-27,0,1890,0,,
Highland Park,northeast-la,2020-05-27,0,48391,0,37,37
Historic Filipinotown,central-la,2020-05-27,0,13870,0,32,47
Hollywood,central-la,2020-05-27,0,68254,0,57,55
Hollywood Hills,central-la,2020-05-27,0,29434,0,38,56
Huntington Park,southeast,2020-05-27,0,59484,0,40,37
Hyde Park,south-la,2020-05-27,0,28541,0,30,39
Industry,san-gabriel-valley,2020-05-27,0,437,0,,32
Inglewood,south-bay,2020-05-27,0,113582,0,54,45
Irwindale,san-gabriel-valley,2020-05-27,0,1459,0,,32
Jefferson Park,south-la,2020-05-27,0,8073,0,,33
Kagel/Lopez Canyons,angeles-forest,2020-05-27,0,1412,0,,16
Koreatown,central-la,2020-05-27,0,51693,0,46,43
La Canada Flintridge,verdugos,2020-05-27,0,20693,0,,44
La Crescenta-Montrose,verdugos,2020-05-27,0,19801,0,,15
La Habra Heights,san-gabriel-valley,2020-05-27,0,5455,0,,15
La Mirada,southeast,2020-05-27,0,49599,0,30,30
