csa.hood.name,mapla.region.slug,date,confirmed.cases,population,case.rate.100k,days.since.50.cases,days.since.100.cases.per.100k
Acton,antelope-valley,2020-03-27,0,7971,0,,-25
Acton,antelope-valley,2020-03-28,0,7971,0,,-24
Acton,antelope-valley,2020-03-29,0,7971,0,,-23
Acton,antelope-valley,2020-03-30,0,7971,0,,-22
Acton,antelope-valley,2020-03-31,0,7971,0,,-21
Acton,antelope-valley,2020-04-01,0,7971,0,,-20
Acton,antelope-valley,2020-04-02,0,7971,0,,-19
Acton,antelope-valley,2020-04-03,0,7971,0,,-18
Acton,antelope-valley,2020-04-04,0,7971,0,,-17
Acton,antelope-valley,2020-04-05,0,7971,0,,-16
Acton,antelope-valley,2020-04-06,0,7971,0,,-15
Acton,antelope-valley,2020-04-07,0,7971,0,,-14
Acton,antelope-valley,2020-04-08,0,7971,0,,-13
Acton,antelope-valley,2020-04-09,0,7971,0,,-12
Acton,antelope-valley,2020-04-10,5,7971,62.72738677706687,,-11
Acton,antelope-valley,2020-04-11,5,7971,62.72738677706687,,-10
Acton,antelope-valley,2020-04-12,5,7971,62.72738677706687,,-9
Acton,antelope-valley,2020-04-13,0,7971,0,,-8
Acton,antelope-valley,2020-04-14,0,7971,0,,-7
Acton,antelope-valley,2020-04-15,0,7971,0,,-6
Acton,antelope-valley,2020-04-16,0,7971,0,,-5
Acton,antelope-valley,2020-04-17,5,7971,62.72738677706687,,-4
Acton,antelope-valley,2020-04-18,5,7971,62.72738677706687,,-3
Acton,antelope-valley,2020-04-19,5,7971,62.72738677706687,,-2
Acton,antelope-valley,2020-04-20,6,7971,75.27286413248024,,-1
Acton,antelope-valley,2020-04-21,8,7971,100.363818843307,,0
Acton,antelope-valley,2020-04-22,8,7971,100.363818843307,,1
Acton,antelope-valley,2020-04-23,8,7971,100.363818843307,,2
Acton,antelope-valley,2020-04-24,8,7971,100.363818843307,,3
Acton,antelope-valley,2020-04-25,8,7971,100.363818843307,,4
Acton,antelope-valley,2020-04-26,8,7971,100.363818843307,,5
Acton,antelope-valley,2020-04-27,8,7971,100.363818843307,,6
Acton,antelope-valley,2020-04-28,8,7971,100.363818843307,,7
Acton,antelope-valley,2020-04-29,8,7971,100.363818843307,,8
Acton,antelope-valley,2020-04-30,8,7971,100.363818843307,,9
Acton,antelope-valley,2020-05-01,8,7971,100.363818843307,,10
Acton,antelope-valley,2020-05-02,8,7971,100.363818843307,,11
Acton,antelope-valley,2020-05-03,8,7971,100.363818843307,,12
Acton,antelope-valley,2020-05-04,8,7971,100.363818843307,,13
Acton,antelope-valley,2020-05-05,8,7971,100.363818843307,,14
Acton,antelope-valley,2020-05-06,8,7971,100.363818843307,,15
Acton,antelope-valley,2020-05-07,8,7971,100.363818843307,,16
Acton,antelope-valley,2020-05-08,8,7971,100.363818843307,,17
Acton,antelope-valley,2020-05-09,8,7971,100.363818843307,,18
Acton,antelope-valley,2020-05-10,8,7971,100.363818843307,,19
Acton,antelope-valley,2020-05-11,8,7971,100.363818843307,,20
Acton,antelope-valley,2020-05-12,8,7971,100.363818843307,,21
Acton,antelope-valley,2020-05-13,8,7971,100.363818843307,,22
Acton,antelope-valley,2020-05-14,9,7971,112.90929619872036,,23
Acton,antelope-valley,2020-05-15,9,7971,112.90929619872036,,24
Acton,antelope-valley,2020-05-16,10,7971,125.45477355413374,,25
Acton,antelope-valley,2020-05-17,10,7971,125.45477355413374,,26
Acton,antelope-valley,2020-05-18,10,7971,125.45477355413374,,27
Acton,antelope-valley,2020-05-19,10,7971,125.45477355413374,,28
Acton,antelope-valley,2020-05-20,10,7971,125.45477355413374,,29
Acton,antelope-valley,2020-05-21,10,7971,125.45477355413374,,30
Acton,antelope-valley,2020-05-22,10,7971,125.45477355413374,,31
Acton,antelope-valley,2020-05-23,11,7971,138.0002509095471,,32
Acton,antelope-valley,2020-05-24,11,7971,138.0002509095471,,33
Acton,antelope-valley,2020-05-25,11,7971,138.0002509095471,,34
Acton,antelope-valley,2020-05-26,11,7971,138.0002509095471,,35
Acton,antelope-valley,2020-05-27,11,7971,138.0002509095471,,36
Acton,antelope-valley,2020-05-28,11,7971,138.0002509095471,,37
Acton,antelope-valley,2020-05-29,11,7971,138.0002509095471,,38
Acton,antelope-valley,2020-05-30,11,7971,138.0002509095471,,39
Acton,antelope-valley,2020-05-31,11,7971,138.0002509095471,,40
Acton,antelope-valley,2020-06-01,11,7971,138.0002509095471,,41
Acton,antelope-valley,2020-06-02,11,7971,138.0002509095471,,42
Acton,antelope-valley,2020-06-03,11,7971,138.0002509095471,,43
Acton,antelope-valley,2020-06-04,11,7971,138.0002509095471,,44
Acton,antelope-valley,2020-06-05,11,7971,138.0002509095471,,45
Acton,antelope-valley,2020-06-06,13,7971,163.09120562037384,,46
Acton,antelope-valley,2020-06-07,13,7971,163.09120562037384,,47
Acton,antelope-valley,2020-06-08,13,7971,163.09120562037384,,48
Acton,antelope-valley,2020-06-09,15,7971,188.1821603312006,,49
Acton,antelope-valley,2020-06-10,16,7971,200.727637686614,,50
Acton,antelope-valley,2020-06-11,16,7971,200.727637686614,,51
Acton,antelope-valley,2020-06-12,16,7971,200.727637686614,,52
Acton,antelope-valley,2020-06-13,16,7971,200.727637686614,,53
Acton,antelope-valley,2020-06-14,19,7971,238.36406975285408,,54
Acton,antelope-valley,2020-06-15,19,7971,238.36406975285408,,55
Acton,antelope-valley,2020-06-16,17,7971,213.27311504202737,,56
Acton,antelope-valley,2020-06-17,17,7971,213.27311504202737,,57
