csa.hood.name,mapla.region.slug,date,recent.cases,population,recent.rate.cases
Acton,antelope-valley,2020-11-11,0,7971,0
Acton,antelope-valley,2020-11-12,1,7971,12.545477355413375
Acton,antelope-valley,2020-11-13,2,7971,25.09095471082675
Acton,antelope-valley,2020-11-14,5,7971,62.72738677706687
Acton,antelope-valley,2020-11-15,6,7971,75.27286413248024
Acton,antelope-valley,2020-11-16,7,7971,87.81834148789362
Acton,antelope-valley,2020-11-17,6,7971,75.27286413248024
Acton,antelope-valley,2020-11-18,6,7971,75.27286413248024
Acton,antelope-valley,2020-11-19,6,7971,75.27286413248024
Acton,antelope-valley,2020-11-20,6,7971,75.27286413248024
Acton,antelope-valley,2020-11-21,9,7971,112.90929619872036
Acton,antelope-valley,2020-11-22,9,7971,112.90929619872036
Acton,antelope-valley,2020-11-23,13,7971,163.09120562037384
Acton,antelope-valley,2020-11-24,14,7971,175.63668297578724
Adams-Normandie,south-la,2020-11-11,0,8202,0
Adams-Normandie,south-la,2020-11-12,1,8202,12.192148256522799
Adams-Normandie,south-la,2020-11-13,8,8202,97.53718605218239
Adams-Normandie,south-la,2020-11-14,10,8202,121.921482565228
Adams-Normandie,south-la,2020-11-15,13,8202,158.4979273347964
Adams-Normandie,south-la,2020-11-16,14,8202,170.6900755913192
Adams-Normandie,south-la,2020-11-17,17,8202,207.2665203608876
Adams-Normandie,south-la,2020-11-18,20,8202,243.842965130456
Adams-Normandie,south-la,2020-11-19,24,8202,292.6115581565472
Adams-Normandie,south-la,2020-11-20,24,8202,292.6115581565472
Adams-Normandie,south-la,2020-11-21,29,8202,353.57229943916116
Adams-Normandie,south-la,2020-11-22,29,8202,353.57229943916116
Adams-Normandie,south-la,2020-11-23,36,8202,438.91733723482076
Adams-Normandie,south-la,2020-11-24,38,8202,463.3016337478664
Agoura Hills,santa-monica-mountains,2020-11-11,0,20883,0
Agoura Hills,santa-monica-mountains,2020-11-12,3,20883,14.365752047119665
Agoura Hills,santa-monica-mountains,2020-11-13,6,20883,28.73150409423933
Agoura Hills,santa-monica-mountains,2020-11-14,9,20883,43.097256141359
Agoura Hills,santa-monica-mountains,2020-11-15,10,20883,47.88584015706556
Agoura Hills,santa-monica-mountains,2020-11-16,10,20883,47.88584015706556
Agoura Hills,santa-monica-mountains,2020-11-17,13,20883,62.251592204185215
Agoura Hills,santa-monica-mountains,2020-11-18,20,20883,95.77168031413112
Agoura Hills,santa-monica-mountains,2020-11-19,26,20883,124.50318440837043
Agoura Hills,santa-monica-mountains,2020-11-20,26,20883,124.50318440837043
