csa.hood.name,mapla.region.slug,date,recent.cases,population,recent.rate.cases
Long Beach,harbor,2020-12-21,7095,467354,1518.1211672522327
East Los Angeles,eastside,2020-12-21,3734,125269,2980.785349926957
Lancaster,antelope-valley,2020-12-21,3671,161570,2272.0802129108124
Palmdale,antelope-valley,2020-12-21,3567,159810,2232.025530317252
Pomona,pomona-valley,2020-12-21,3554,157869,2251.2336177463594
Florence-Firestone,south-la,2020-12-21,3360,112150,2995.98751671868
North Hollywood,san-fernando-valley,2020-12-21,2910,151421,1921.794202917693
South Gate,southeast,2020-12-21,2585,98155,2633.5897305282465
Boyle Heights,eastside,2020-12-21,2573,86884,2961.419824133327
Downey,southeast,2020-12-21,2482,114263,2172.181721117072
Pacoima,san-fernando-valley,2020-12-21,2425,76979,3150.2097974772337
Santa Clarita,northwest-county,2020-12-21,2399,220424,1088.356984720357
Compton,southeast,2020-12-21,2308,99904,2310.2178090967327
El Monte,san-gabriel-valley,2020-12-21,2288,117414,1948.6602960464681
Norwalk,southeast,2020-12-21,2167,107622,2013.5288323948637
Glendale,verdugos,2020-12-21,2166,206493,1048.9459691127543
Sylmar,san-fernando-valley,2020-12-21,2149,82398,2608.073011480861
Van Nuys,san-fernando-valley,2020-12-21,2058,93194,2208.296671459536
Inglewood,south-bay,2020-12-21,1794,113582,1579.475621137152
Lynwood,southeast,2020-12-21,1786,72047,2478.937360334226
Panorama City,san-fernando-valley,2020-12-21,1781,75250,2366.7774086378736
West Covina,san-gabriel-valley,2020-12-21,1742,108235,1609.460895274172
Baldwin Park,san-gabriel-valley,2020-12-21,1708,76769,2224.8563873438497
Pico Rivera,southeast,2020-12-21,1673,64284,2602.5138448136395
Huntington Park,southeast,2020-12-21,1635,59484,2748.6382892878755
Whittier,san-gabriel-valley,2020-12-21,1633,91216,1790.256095421856
Vernon Central,south-la,2020-12-21,1575,51998,3028.962652409708
Montebello,southeast,2020-12-21,1567,64375,2434.1747572815534
Bellflower,southeast,2020-12-21,1566,77735,2014.5365665401685
West Vernon,south-la,2020-12-21,1565,53644,2917.381254194318
Reseda,san-fernando-valley,2020-12-21,1562,76617,2038.712035188013
Hawthorne,south-bay,2020-12-21,1465,91301,1604.5826442207642
Pasadena,verdugos,2020-12-21,1399,138101,1013.0266978515724
Paramount,southeast,2020-12-21,1395,56023,2490.0487299858987
Sun Valley,san-fernando-valley,2020-12-21,1391,52483,2650.3820284663607
North Hills,san-fernando-valley,2020-12-21,1355,61575,2200.5684125050752
Covina,san-gabriel-valley,2020-12-21,1284,65851,1949.8564942066178
Wilmington,harbor,2020-12-21,1249,56487,2211.128224193177
Carson,harbor,2020-12-21,1231,93846,1311.7234618417408
Bell Gardens,southeast,2020-12-21,1221,43071,2834.8540781500315
Azusa,san-gabriel-valley,2020-12-21,1192,65963,1807.0736625077695
South Whittier,southeast,2020-12-21,1184,59222,1999.2570328594104
South Park,south-la,2020-12-21,1102,37961,2902.979373567609
Harvard Park,south-la,2020-12-21,1083,37935,2854.8833531039936
Canoga Park,san-fernando-valley,2020-12-21,1074,65289,1644.9937968111012
Vermont Vista,south-la,2020-12-21,1073,41186,2605.2542125965133
Watts,south-la,2020-12-21,1066,42674,2498.0081548483854
Burbank,san-fernando-valley,2020-12-21,1047,107180,976.8613547303601
Lakewood,harbor,2020-12-21,1029,80362,1280.4559368855928
Central,south-la,2020-12-21,1006,38992,2580.0164136233075
Pico-Union,central-la,2020-12-21,1005,41842,2401.892834950528
Alhambra,san-gabriel-valley,2020-12-21,989,86724,1140.3994280706609
La Puente,san-gabriel-valley,2020-12-21,987,40697,2425.240189694572
Melrose,central-la,2020-12-21,977,77696,1257.4649917627678
Westlake,central-la,2020-12-21,972,59355,1637.6042456406367
Gardena,south-bay,2020-12-21,965,61310,1573.9683575273202
El Sereno,eastside,2020-12-21,953,41808,2279.4680443934176
Bell,southeast,2020-12-21,924,36332,2543.2125949576134
Northridge,san-fernando-valley,2020-12-21,893,69797,1279.424617103887
Exposition Park,south-la,2020-12-21,889,44917,1979.2060912349446
Arleta,san-fernando-valley,2020-12-21,872,34370,2537.0963049170787
Century Palms/Cove,south-la,2020-12-21,844,33766,2499.5557661553044
Lincoln Heights,eastside,2020-12-21,841,32597,2579.9920238058717
San Pedro,harbor,2020-12-21,835,78038,1069.991542581819
Winnetka,san-fernando-valley,2020-12-21,833,51786,1608.5428494187618
Willowbrook,south-la,2020-12-21,827,34913,2368.74516655687
Torrance,south-bay,2020-12-21,813,149268,544.657930701825
Athens-Westmont,south-la,2020-12-21,794,42442,1870.7883700108382
Hacienda Heights,san-gabriel-valley,2020-12-21,788,55926,1409.004756285091
Highland Park,northeast-la,2020-12-21,783,48391,1618.0694757289577
Granada Hills,san-fernando-valley,2020-12-21,769,58191,1321.5101991716933
Maywood,southeast,2020-12-21,758,28049,2702.413633284609
Wilshire Center,central-la,2020-12-21,744,50170,1482.957942993821
Lake Balboa,san-fernando-valley,2020-12-21,727,42206,1722.5039093967682
Wholesale District,central-la,2020-12-21,723,36129,2001.1625010379473
Monterey Park,san-gabriel-valley,2020-12-21,696,62262,1117.8567986894093
Harbor Gateway,harbor,2020-12-21,694,43600,1591.743119266055
San Fernando,san-fernando-valley,2020-12-21,686,24612,2787.2582480091014
Koreatown,central-la,2020-12-21,682,51693,1319.3275685295882
Temple-Beaudry,central-la,2020-12-21,661,39482,1674.1806392786586
Hollywood,central-la,2020-12-21,650,68254,952.325138453424
Mission Hills,san-fernando-valley,2020-12-21,646,24124,2677.8312054385674
Rosemead,san-gabriel-valley,2020-12-21,641,55350,1158.0849141824751
Sherman Oaks,san-fernando-valley,2020-12-21,639,87254,732.3446489559218
Cudahy,southeast,2020-12-21,638,24347,2620.446050848154
West Whittier/Los Nietos,southeast,2020-12-21,629,26925,2336.1188486536676
La Mirada,southeast,2020-12-21,604,49599,1217.766487227565
