poverty.bin,date,cases,population,case.rate.100k
high >25% (1.3M),2020-03-27,101,1273514,7.93081191098017
high >25% (1.3M),2020-03-28,128,1273514,10.050929946588731
high >25% (1.3M),2020-03-29,153,1273514,12.014002201781842
high >25% (1.3M),2020-03-30,178,1273514,13.977074456974952
high >25% (1.3M),2020-03-31,256,1273514,20.101859893177462
high >25% (1.3M),2020-04-01,330,1273514,25.91255376854907
high >25% (1.3M),2020-04-02,388,1273514,30.46688140059709
high >25% (1.3M),2020-04-03,469,1273514,36.82723550742277
high >25% (1.3M),2020-04-04,558,1273514,43.815772735910244
high >25% (1.3M),2020-04-05,625,1273514,49.07680637982778
high >25% (1.3M),2020-04-06,680,1273514,53.39556534125263
high >25% (1.3M),2020-04-07,766,1273514,60.148533899116934
high >25% (1.3M),2020-04-08,850,1273514,66.74445667656579
high >25% (1.3M),2020-04-09,850,1273514,66.74445667656579
high >25% (1.3M),2020-04-10,991,1273514,77.81618419585493
high >25% (1.3M),2020-04-11,1056,1273514,82.92017205935703
high >25% (1.3M),2020-04-12,1078,1273514,84.64767564392696
high >25% (1.3M),2020-04-13,1127,1273514,88.49529726410546
high >25% (1.3M),2020-04-14,1219,1273514,95.7194031632161
high >25% (1.3M),2020-04-15,1292,1273514,101.45157414838
high >25% (1.3M),2020-04-16,1342,1273514,105.37771865876621
high >25% (1.3M),2020-04-17,1444,1273514,113.38705345995412
high >25% (1.3M),2020-04-18,1548,1273514,121.55343404155745
high >25% (1.3M),2020-04-19,1600,1273514,125.63662433235912
high >25% (1.3M),2020-04-20,1875,1273514,147.23041913948336
high >25% (1.3M),2020-04-21,2137,1273514,167.80341637390714
high >25% (1.3M),2020-04-22,2371,1273514,186.17777268251467
high >25% (1.3M),2020-04-23,2584,1273514,202.90314829676
high >25% (1.3M),2020-04-24,2784,1273514,218.60772633830487
high >25% (1.3M),2020-04-25,2888,1273514,226.77410691990823
high >25% (1.3M),2020-04-26,2974,1273514,233.5270754777725
high >25% (1.3M),2020-04-27,3157,1273514,247.8967643857861
high >25% (1.3M),2020-04-28,3288,1273514,258.183263002998
high >25% (1.3M),2020-04-29,3502,1273514,274.98716150745105
high >25% (1.3M),2020-04-30,3502,1273514,274.98716150745105
high >25% (1.3M),2020-05-01,3874,1273514,304.19767666472455
high >25% (1.3M),2020-05-02,4005,1273514,314.4841752819364
high >25% (1.3M),2020-05-03,4133,1273514,324.5351052285252
high >25% (1.3M),2020-05-04,4214,1273514,330.89545933535084
high >25% (1.3M),2020-05-05,4542,1273514,356.6509673234845
high >25% (1.3M),2020-05-06,4761,1273514,373.8474802789761
high >25% (1.3M),2020-05-07,4913,1273514,385.78295959055026
high >25% (1.3M),2020-05-08,5078,1273514,398.73923647482474
high >25% (1.3M),2020-05-09,5257,1273514,412.79483382200743
high >25% (1.3M),2020-05-10,5356,1273514,420.56859995257213
high >25% (1.3M),2020-05-11,5473,1273514,429.75577810687594
high >25% (1.3M),2020-05-12,5700,1273514,447.5804741840294
high >25% (1.3M),2020-05-13,5996,1273514,470.8232496855158
high >25% (1.3M),2020-05-14,6175,1273514,484.87884703269856
high >25% (1.3M),2020-05-15,6175,1273514,484.87884703269856
high >25% (1.3M),2020-05-16,6656,1273514,522.648357222614
high >25% (1.3M),2020-05-17,6829,1273514,536.2328172285503
high >25% (1.3M),2020-05-18,6944,1273514,545.2629496024387
high >25% (1.3M),2020-05-19,7242,1273514,568.6627708843405
high >25% (1.3M),2020-05-20,7242,1273514,568.6627708843405
high >25% (1.3M),2020-05-21,7847,1273514,616.1691194600138
high >25% (1.3M),2020-05-22,8101,1273514,636.1139335727759
high >25% (1.3M),2020-05-23,8343,1273514,655.1164730030451
high >25% (1.3M),2020-05-24,8600,1273514,675.2968557864303
high >25% (1.3M),2020-05-25,8869,1273514,696.4195132523082
high >25% (1.3M),2020-05-26,9446,1273514,741.7272209021652
high >25% (1.3M),2020-05-27,9696,1273514,761.3579434540962
low <5% (336K),2020-03-27,76,336380,22.593495451572625
low <5% (336K),2020-03-28,85,336380,25.269040965574646
low <5% (336K),2020-03-29,105,336380,31.21469766335692
low <5% (336K),2020-03-30,126,336380,37.4576371960283
low <5% (336K),2020-03-31,153,336380,45.48427373803436
low <5% (336K),2020-04-01,174,336380,51.727213270705754
low <5% (336K),2020-04-02,197,336380,58.56471847315537
low <5% (336K),2020-04-03,212,336380,63.02396099649206
low <5% (336K),2020-04-04,235,336380,69.86146619894167
low <5% (336K),2020-04-05,255,336380,75.80712289672394
low <5% (336K),2020-04-06,268,336380,79.67179975028242
low <5% (336K),2020-04-07,289,336380,85.9147392829538
low <5% (336K),2020-04-08,304,336380,90.3739818062905
low <5% (336K),2020-04-09,304,336380,90.3739818062905
low <5% (336K),2020-04-10,323,336380,96.02235566918365
low <5% (336K),2020-04-11,334,336380,99.2924668529639
low <5% (336K),2020-04-12,338,336380,100.48159819252038
low <5% (336K),2020-04-13,345,336380,102.56257803674416
low <5% (336K),2020-04-14,351,336380,104.34627504607883
low <5% (336K),2020-04-15,355,336380,105.5354063856353
low <5% (336K),2020-04-16,359,336380,106.72453772519175
low <5% (336K),2020-04-17,366,336380,108.80551756941556
low <5% (336K),2020-04-18,373,336380,110.88649741363933
low <5% (336K),2020-04-19,376,336380,111.77834591830668
low <5% (336K),2020-04-20,398,336380,118.31856828586717
low <5% (336K),2020-04-21,415,336380,123.3723764789821
low <5% (336K),2020-04-22,426,336380,126.64248766276235
low <5% (336K),2020-04-23,436,336380,129.61531601165348
low <5% (336K),2020-04-24,443,336380,131.69629585587728
low <5% (336K),2020-04-25,459,336380,136.4528212141031
low <5% (336K),2020-04-26,463,336380,137.64195255365956
low <5% (336K),2020-04-27,468,336380,139.12836672810514
low <5% (336K),2020-04-28,477,336380,141.80391224210715
low <5% (336K),2020-04-29,486,336380,144.47945775610918
low <5% (336K),2020-04-30,486,336380,144.47945775610918
low <5% (336K),2020-05-01,495,336380,147.1550032701112
low <5% (336K),2020-05-02,501,336380,148.93870027944587
low <5% (336K),2020-05-03,511,336380,151.911528628337
low <5% (336K),2020-05-04,516,336380,153.39794280278255
low <5% (336K),2020-05-05,532,336380,158.15446816100837
low <5% (336K),2020-05-06,541,336380,160.8300136750104
low <5% (336K),2020-05-07,553,336380,164.39740769367978
low <5% (336K),2020-05-08,556,336380,165.2892561983471
low <5% (336K),2020-05-09,567,336380,168.55936738212736
low <5% (336K),2020-05-10,571,336380,169.74849872168383
low <5% (336K),2020-05-11,572,336380,170.0457815565729
low <5% (336K),2020-05-12,586,336380,174.20774124502051
low <5% (336K),2020-05-13,595,336380,176.88328675902252
low <5% (336K),2020-05-14,602,336380,178.96426660324633
low <5% (336K),2020-05-15,602,336380,178.96426660324633
low <5% (336K),2020-05-16,615,336380,182.8289434568048
low <5% (336K),2020-05-17,626,336380,186.09905464058505
low <5% (336K),2020-05-18,634,336380,188.47731731969796
low <5% (336K),2020-05-19,647,336380,192.34199417325644
low <5% (336K),2020-05-20,647,336380,192.34199417325644
low <5% (336K),2020-05-21,662,336380,196.80123669659315
low <5% (336K),2020-05-22,675,336380,200.66591355015163
low <5% (336K),2020-05-23,688,336380,204.53059040371008
low <5% (336K),2020-05-24,697,336380,207.20613591771212
low <5% (336K),2020-05-25,704,336380,209.2871157619359
low <5% (336K),2020-05-26,716,336380,212.85450978060527
low <5% (336K),2020-05-27,724,336380,215.23277245971815
medium (8.6M),2020-03-27,1027,8643820,11.881320990025245
medium (8.6M),2020-03-28,1299,8643820,15.02807786372229
medium (8.6M),2020-03-29,1524,8643820,17.631093659979037
medium (8.6M),2020-03-30,1771,8643820,20.48862655631422
medium (8.6M),2020-03-31,2106,8643820,24.364227852963158
medium (8.6M),2020-04-01,2478,8643820,28.667880636107643
medium (8.6M),2020-04-02,2824,8643820,32.6707404827958
