csa.hood.name,deaths,population,rate.deaths
Acton,2,7971,25.09095471082675
Adams-Normandie,3,8202,36.5764447695684
Agoura Hills,2,20883,9.57716803141311
Agua Dulce,0,4158,0
Alhambra,18,86724,20.755500207555002
Alsace,1,12445,8.035355564483728
Altadena,11,43620,25.217790004585055
Anaverde,0,1508,0
Angeles National Forest,0,1245,0
Angelino Heights,1,2502,39.96802557953637
Arcadia,20,65735,30.425192059024873
Arleta,16,34370,46.552225778295025
Artesia,3,16795,17.862459065197974
Athens Village,6,4897,122.52399428221361
Athens-Westmont,20,42442,47.12313274586494
Atwater Village,4,14666,27.273966998499933
Avalon,0,3723,0
Avocado Heights,1,6775,14.760147601476016
Azusa,16,65963,24.25602231554053
Baldwin Hills,23,31125,73.89558232931726
Baldwin Park,52,76769,67.73567455613595
Bassett,8,14817,53.992036174664236
Bel Air,0,8429,0
Bell,30,36332,82.57183749862381
Bell Gardens,17,43071,39.46971279979569
Bellflower,47,77735,60.46182543255934
Beverly Crest,2,12525,15.96806387225549
Beverly Hills,10,34520,28.968713789107763
Beverlywood,0,13173,0
Bouquet Canyon,1,1073,93.19664492078284
Boyle Heights,48,86884,55.2460752267391
Bradbury,1,1177,84.96176720475786
Brentwood,3,30955,9.691487643353256
Brookside,0,581,0
Burbank,51,107180,47.58350438514648
Cadillac-Corning,1,7121,14.04297149276787
Calabasas,12,24323,49.33601940550097
Canoga Park,48,65289,73.51927583513303
Canyon Country,0,7728,0
Carson,40,93846,42.62302069347655
Carthay,12,14363,83.54800529137367
Castaic,4,27191,14.710749880475158
Central,35,38992,89.7620024620435
Century City,0,12792,0
Century Palms/Cove,15,33766,44.42338446958479
Cerritos,10,50654,19.74177754965057
Chatsworth,34,37061,91.74064380345916
Cheviot Hills,2,9171,21.80787264202377
Chinatown,2,8021,24.934546814611643
Claremont,5,37186,13.445920507717958
Cloverdale/Cochran,5,14553,34.35717721432007
Commerce,4,13069,30.60677940163746
Compton,43,99904,43.041319666880206
Country Club Park,22,15153,145.18577179436417
Covina,19,65851,28.85301665882067
Covina (Charter Oak),0,13144,0
Crenshaw District,2,13829,14.462361703666208
Crestview,19,11368,167.13581984517944
Cudahy,12,24347,49.28738653632891
Culver City,29,39865,72.74551611689452
Del Aire,1,4393,22.763487366264513
Del Rey,7,30254,23.137436372049976
Del Sur,1,2415,41.40786749482402
Desert View Highlands,1,2493,40.11231448054553
Diamond Bar,5,57515,8.69338433452143
Downey,72,114263,63.01252373909315
Downtown,13,27507,47.26069727705675
Duarte,26,26444,98.32098018454091
Eagle Rock,18,39589,45.46717522544141
East Covina,0,329,0
East Hollywood,43,29287,146.82282241267455
East La Mirada,0,5292,0
East Lancaster,0,114,0
East Los Angeles,72,125269,57.47631097877368
East Pasadena,1,6403,15.617679212868968
East Rancho Dominguez,9,15308,58.792788084661616
East Whittier,0,5306,0
Echo Park,3,14256,21.04377104377104
El Camino Village,3,8791,34.12581048799909
El Monte,96,117414,81.76197046348817
El Segundo,0,16786,0
El Sereno,27,41808,64.5809414466131
Elizabeth Lake,0,1661,0
Elysian Park,0,5712,0
Elysian Valley,1,10171,9.831874938550783
Encino,14,45172,30.992650314354027
Exposition,1,3326,30.066145520144318
Exposition Park,19,44917,42.300242669813215
Faircrest Heights,2,3600,55.55555555555556
Figueroa Park Square,1,8721,11.466574934067193
Florence-Firestone,53,112150,47.25813642443157
Gardena,34,61310,55.455879954330456
Glassell Park,10,31604,31.641564358941906
Glendale,142,206493,68.76746427239664
Glendora,39,53424,73.00089847259659
Gramercy Place,4,10764,37.16090672612412
Granada Hills,58,58191,99.67177054871028
Green Meadows,10,21505,46.500813764240874
Hacienda Heights,6,55926,10.7284626113078
Hancock Park,3,17039,17.606667057925932
Harbor City,9,29070,30.959752321981426
Harbor Gateway,11,43600,25.229357798165136
Harbor Pines,0,2409,0
Harvard Heights,22,18035,121.98502911006378
Harvard Park,16,37935,42.17740872545143
Hawaiian Gardens,1,14676,6.8138457345325705
Hawthorne,29,91301,31.76306940778305
Hermosa Beach,2,19670,10.167768174885612
Hi Vista,0,1098,0
Hidden Hills,0,1890,0
Highland Park,17,48391,35.130499473042505
Historic Filipinotown,13,13870,93.72746935832733
Hollywood,9,68254,13.18604037858587
Hollywood Hills,6,29434,20.384589250526602
Huntington Park,33,59484,55.47710308654428
Hyde Park,12,28541,42.04477768823797
Industry,2,437,457.66590389016017
Inglewood,78,113582,68.67285309291965
Irwindale,2,1459,137.08019191226867
Jefferson Park,0,8073,0
Kagel/Lopez Canyons,1,1412,70.8215297450425
Koreatown,23,51693,44.49345172460488
La Canada Flintridge,6,20693,28.995312424491374
La Crescenta-Montrose,1,19801,5.050249987374375
La Habra Heights,0,5455,0
La Mirada,23,49599,46.37190265932781
La Puente,9,40697,22.11465218566479
La Rambla,11,2075,530.1204819277108
La Verne,7,35322,19.817677368212447
Ladera Heights,3,7071,42.42681374628765
Lafayette Square,3,4559,65.80390436499232
Lake Balboa,13,42206,30.801307870918826
Lake Hughes,0,668,0
Lake Los Angeles,2,12994,15.391719255040789
Lake Manor,0,1643,0
Lakeview Terrace,19,13133,144.67372268331684
Lakewood,7,80362,8.710584604663895
Lancaster,30,161570,18.56780342885437
Lawndale,9,33614,26.774558219789373
Leimert Park,4,15235,26.25533311453889
Lennox,3,22542,13.308490817141337
Leona Valley,0,1751,0
Lincoln Heights,41,32597,125.77844586925177
Little Armenia,46,8025,573.208722741433
Little Bangladesh,5,28343,17.64104011572522
Little Tokyo,2,3133,63.83657835939994
Littlerock,0,4021,0
Littlerock/Juniper Hills,0,1297,0
Littlerock/Pearblossom,0,3569,0
Llano,0,877,0
Lomita,7,20729,33.76911573158377
Longwood,0,4304,0
Los Feliz,2,21608,9.255831173639393
Lynwood,78,72047,108.26266187349924
Malibu,2,12961,15.43090810894221
Manchester Square,1,8536,11.715089034676664
Mandeville Canyon,0,3124,0
Manhattan Beach,4,35999,11.111419761660047
Mar Vista,5,42471,11.772739045466318
Marina del Rey,1,9411,10.625863351397301
Marina Peninsula,0,4360,0
Maywood,26,28049,92.69492673535598
Melrose,54,77696,69.501647446458
Mid-city,20,15030,133.06719893546241
Miracle Mile,5,17985,27.800945232137895
Mission Hills,17,24124,70.46924224838335
Monrovia,34,42681,79.6607389705021
Montebello,35,64375,54.36893203883495
Monterey Park,17,62262,27.30397353120684
Mt. Washington,11,24145,45.558086560364465
Newhall,0,0,NaN
North Hills,36,61575,58.4652862362972
North Hollywood,46,151421,30.37887743443776
North Lancaster,0,1198,0
North Whittier,6,8360,71.77033492822966
Northeast San Gabriel,6,24036,24.962556165751376
Northridge,39,69797,55.876327062767736
Norwalk,49,107622,45.52972440579064
Pacific Palisades,3,21291,14.09046075806679
Pacoima,34,76979,44.1678899440107
Palisades Highlands,0,3846,0
Palmdale,32,159810,20.023778236656028
Palms,28,43877,63.8147548829683
Palos Verdes Estates,2,13522,14.790711433219938
Palos Verdes Peninsula,0,621,0
Panorama City,76,75250,100.99667774086379
Paramount,20,56023,35.699623368973455
Park La Brea,1,13580,7.363770250368188
Pearblossom/Llano,1,1956,51.12474437627812
Pellissier Village,0,619,0
Pico Rivera,55,64284,85.55783709787816
Pico-Union,78,41842,186.41556330959324
Placerita Canyon,0,460,0
Playa Del Rey,0,3196,0
Playa Vista,0,10947,0
Pomona,60,157869,38.006195009786595
Porter Ranch,6,35588,16.859615600764304
Quartz Hill,10,12906,77.48334108166745
Rancho Dominguez,1,2661,37.579857196542655
Rancho Palos Verdes,12,42747,28.07214541371324
Rancho Park,1,6560,15.24390243902439
Redondo Beach,9,68697,13.101008777675883
Regent Square,0,2780,0
Reseda,63,76617,82.22718195700693
Reseda Ranch,0,4636,0
Reynier Village,0,4228,0
Rolling Hills,0,1940,0
Rolling Hills Estates,2,8113,24.65179341797116
Roosevelt,0,931,0
Rosemead,17,55350,30.71364046973803
Rosewood,0,1286,0
Rosewood/East Gardena,0,1193,0
Rosewood/West Rancho Dominguez,0,3361,0
Rowland Heights,10,51022,19.59938849907883
San Dimas,5,34516,14.48603546181481
San Fernando,15,24612,60.945880058508045
San Gabriel,34,40954,83.01997362894956
San Jose Hills,7,20221,34.6174768804708
San Marino,1,13277,7.5318219477291555
San Pasqual,0,2035,0
San Pedro,23,78038,29.472820933391425
Sand Canyon,0,0,NaN
Santa Catalina Island,0,267,0
Santa Clarita,36,220424,16.332159837404273
Santa Fe Springs,4,18364,21.78174689610107
Santa Monica,37,92446,40.02336499145447
Santa Monica Mountains,1,18621,5.370280865689276
Saugus,0,155,0
Saugus/Canyon Country,0,356,0
Shadow Hills,0,4442,0
Sherman Oaks,15,87254,17.19118894262727
Sierra Madre,3,10989,27.300027300027303
Signal Hill,1,11797,8.47673137238281
Silverlake,16,44083,36.29517047387882
South Antelope Valley,0,455,0
South Carthay,1,10595,9.438414346389807
South El Monte,12,22680,52.91005291005291
South Gate,50,98155,50.93984004890225
South Park,22,37961,57.954216169226314
South Pasadena,25,26053,95.95823897439834
South San Gabriel,5,8848,56.50994575045208
South Whittier,19,59222,32.082671980007426
Southeast Antelope Valley,0,781,0
St Elmo Village,8,4584,174.52006980802793
Stevenson Ranch,2,20966,9.539254030334828
Studio City,9,22440,40.106951871657756
Sun Valley,16,52483,30.486062153459212
Sun Village,1,6036,16.56726308813784
Sunland,25,20408,122.50098000784007
Sunrise Village,0,1296,0
Sycamore Square,0,647,0
Sylmar,65,82398,78.88540984004466
Tarzana,36,30876,116.5954139137194
Temple City,37,36455,101.49499382800713
Temple-Beaudry,23,39482,58.25439440757813
Thai Town,0,9809,0
Toluca Lake,0,8704,0
Toluca Terrace,1,1306,76.5696784073507
Toluca Woods,0,1858,0
Torrance,59,149268,39.52622129324437
Tujunga,11,27810,39.55411722402014
Twin Lakes/Oat Mountain,1,1658,60.313630880579005
University Hills,1,3429,29.163021289005545
University Park,15,27456,54.63286713286713
Val Verde,1,3309,30.22061045633122
Valencia,1,3072,32.55208333333333
Valinda,3,23371,12.83642120576783
Valley Glen,14,30016,46.64179104477612
Valley Village,24,24720,97.08737864077669
Van Nuys,63,93194,67.60091851406743
Venice,2,33885,5.902316659288771
Vermont Knolls,12,17200,69.76744186046511
Vermont Square,3,7657,39.179835444691136
Vermont Vista,20,41186,48.5601903559462
Vernon,0,209,0
Vernon Central,30,51998,57.69452671256587
Victoria Park,2,8399,23.81235861412073
View Heights,2,3694,54.141851651326476
View Park/Windsor Hills,2,11635,17.189514396218307
Walnut,1,30532,3.2752521944189708
Walnut Park,9,16143,55.75171901133618
Watts,17,42674,39.836903032291325
Wellington Square,0,4915,0
West Adams,32,27630,115.81614187477379
West Antelope Valley,0,1511,0
West Carson,23,22086,104.13836819704791
West Covina,33,108235,30.489213285905667
West Hills,30,40545,73.99186089530151
West Hollywood,5,36951,13.531433520067116
West LA,2,952,210.08403361344537
West Los Angeles,13,37636,34.541396535232224
West Puente Valley,1,9835,10.167768174885612
West Rancho Dominguez,3,1359,220.7505518763797
West Vernon,37,53644,68.97323092983372
West Whittier/Los Nietos,8,26925,29.712163416898797
Westchester,13,51603,25.192333779043857
Westfield/Academy Hills,0,1300,0
Westhills,0,839,0
Westlake,124,59355,208.9124757813158
Westlake Village,0,8360,0
Westwood,5,54109,9.240606923062707
White Fence Farms,0,3683,0
Whittier,18,91216,19.73338010875285
Whittier Narrows,0,0,NaN
Wholesale District,23,36129,63.660771125688505
Willowbrook,17,34913,48.69246412511099
Wilmington,9,56487,15.932869509798715
Wilshire Center,29,50170,57.80346820809249
Winnetka,13,51786,25.10330977484262
Wiseburn,1,6027,16.592002654720424
Woodland Hills,22,68055,32.32679450444493
Pasadena,105,138101,76.03131041773774
Long Beach,170,467354,36.374996255515086
Bandini Islands,0,0,NaN
Charter Oak,0,0,NaN
Franklin Canyon,0,0,NaN
Padua Hills,0,0,NaN
San Clemente Island,0,0,NaN
San Francisquito Canyon/Bouquet Canyon,0,0,NaN
South Edwards,0,0,NaN
Universal City,0,0,NaN
West Chatsworth,0,0,NaN
