mapla.hood.name,mapla.region.slug,mapla.area,csa.hood.name,csa.area,piece.area,pct.mapla,pct.csa
Acton,antelope-valley,101745659.64143574,Acton,162410461.92902339,89701149.06746058,0.8816213820184419,0.5523113967046148
Agua Dulce,northwest-county,78459569.22753423,Acton,162410461.92902339,24592.962491527058,3.134475849619694e-4,1.5142474320573433e-4
Angeles Crest,angeles-forest,1107067683.3052347,Acton,162410461.92902339,3524.144033153695,3.1833139800740052e-6,2.1698996427297994e-5
Palmdale,antelope-valley,347435337.2104658,Acton,162410461.92902339,7639.5433767505765,2.1988389085830876e-5,4.7038493001080246e-5
Southeast Antelope Valley,antelope-valley,507229784.5930691,Acton,162410461.92902339,8846034.007345708,0.017439894651380815,0.054467143940589255
Tujunga Canyons,angeles-forest,599645333.4090312,Acton,162410461.92902339,63829437.75059547,0.10644531724731363,0.39301309159806597
Adams-Normandie,south-la,2077903.1767752965,Adams-Normandie,960786.8889068011,958577.2777345777,0.4613195111536411,0.9977002067807799
Exposition Park,south-la,4764914.011427688,Adams-Normandie,960786.8889068011,42.01690093936486,8.817976743881584e-6,4.37317592740804e-5
Jefferson Park,south-la,3697625.3320061443,Adams-Normandie,960786.8889068011,409.6335379001848,1.1078286768387601e-4,4.263521313933337e-4
Agoura Hills,santa-monica-mountains,20481427.991481274,Agoura Hills,20248329.35351552,20234346.642885353,0.9879363221793575,0.999309438799318
Calabasas,santa-monica-mountains,48005062.583277754,Agoura Hills,20248329.35351552,341.23894578891014,7.108394978070052e-6,1.6852696330211764e-5
Unincorporated Santa Monica Mountains,santa-monica-mountains,232201347.40396923,Agoura Hills,20248329.35351552,4232.568339427395,1.8228009383872523e-5,2.0903296590701372e-4
Westlake Village,santa-monica-mountains,14254583.576365843,Agoura Hills,20248329.35351552,300.1780078918673,2.1058349848224515e-5,1.482482839206437e-5
Acton,antelope-valley,101745659.64143574,Agua Dulce,111036474.45317122,4554746.202412777,0.044766000028544355,0.0410202703647053
Agua Dulce,northwest-county,78459569.22753423,Agua Dulce,111036474.45317122,78425039.8565894,0.9995599087366298,0.7062998014194386
Castaic Canyons,northwest-county,505066785.5839818,Agua Dulce,111036474.45317122,18699578.253845662,0.037023971458001015,0.16840932987053786
Palmdale,antelope-valley,347435337.2104658,Agua Dulce,111036474.45317122,12136.557148978813,3.4931844430167604e-5,1.0930243605759756e-4
Santa Clarita,northwest-county,147427911.912163,Agua Dulce,111036474.45317122,35708.03612939254,2.4220675492349952e-4,3.2158834567871773e-4
Tujunga Canyons,angeles-forest,599645333.4090312,Agua Dulce,111036474.45317122,9299736.619239569,0.015508728411792735,0.08375388956681672
Alhambra,san-gabriel-valley,19767231.76509224,Alhambra,19766920.286686353,19702409.936206605,0.996720743215036,0.9967364491006119
El Sereno,eastside,10727990.169834454,Alhambra,19766920.286686353,38394.86009373552,0.003578942512614924,0.001942379467154308
Monterey Park,san-gabriel-valley,19965887.11638402,Alhambra,19766920.286686353,4064.600317765997,2.0357724623368143e-4,2.0562638280600715e-4
San Gabriel,san-gabriel-valley,10750653.852719728,Alhambra,19766920.286686353,19461.843535270087,0.0018102939413630716,9.84566298290698e-4
San Marino,san-gabriel-valley,9787823.311275877,Alhambra,19766920.286686353,609.4360099847981,6.226471306267951e-5,3.0831105763869176e-5
South Pasadena,san-gabriel-valley,8860764.997517463,Alhambra,19766920.286686353,5596.623732914737,6.316185718143697e-4,2.831307887999245e-4
Baldwin Hills/Crenshaw,south-la,7456505.65033461,Alsace,1611740.9684849365,783.9358294954735,1.0513447803265522e-4,4.863907072067457e-4
Culver City,westside,13382462.033093274,Alsace,1611740.9684849365,11516.474390410818,8.60564697432499e-4,0.00714536306738948
West Adams,south-la,3841128.3965400876,Alsace,1611740.9684849365,1600369.6510615314,0.4166404987927691,0.9929446991509471
Altadena,verdugos,22616334.264367025,Altadena,22681338.77648715,22566302.679900803,0.997787811946826,0.9949281610878454
Angeles Crest,angeles-forest,1107067683.3052347,Altadena,22681338.77648715,2212.486744268659,1.9985108206420695e-6,9.754656751400658e-5
Pasadena,verdugos,64314783.32704249,Altadena,22681338.77648715,113485.71793552575,0.0017645354934719701,0.005003484100029048
Acton,antelope-valley,101745659.64143574,Anaverde,30710744.739357572,821992.8196624616,0.008078898132453667,0.026765642664765173
Palmdale,antelope-valley,347435337.2104658,Anaverde,30710744.739357572,125663.78314112271,3.616897007370307e-4,0.004091850725458878
Southeast Antelope Valley,antelope-valley,507229784.5930691,Anaverde,30710744.739357572,29763882.166139923,0.0586792871203696,0.9691683617166017
Acton,antelope-valley,101745659.64143574,Angeles National Forest,1804227099.485049,13572.51142487541,1.3339646597905616e-4,7.5226180943347936e-6
Altadena,verdugos,22616334.264367025,Angeles National Forest,1804227099.485049,13672.527177083111,6.045421427390532e-4,7.57805222024735e-6
Angeles Crest,angeles-forest,1107067683.3052347,Angeles National Forest,1804227099.485049,1099272316.5950816,0.9929585455092688,0.6092760256781582
Arcadia,san-gabriel-valley,28824134.032376733,Angeles National Forest,1804227099.485049,84.28031261369608,2.9239495111640874e-6,4.671269633282353e-8
Azusa,san-gabriel-valley,25685030.967753645,Angeles National Forest,1804227099.485049,20578.527723270694,8.011875768849986e-4,1.1405730314739251e-5
Claremont,pomona-valley,43080344.826759115,Angeles National Forest,1804227099.485049,336062.38547148934,0.007800828587210984,1.8626390522978294e-4
Duarte,san-gabriel-valley,17333876.791982092,Angeles National Forest,1804227099.485049,19595.980980786728,0.0011305019192158438,1.0861149899799026e-5
Glendale,verdugos,79251143.23533505,Angeles National Forest,1804227099.485049,2298.3837498413923,2.9001269332057168e-5,1.2738882763136538e-6
Glendora,san-gabriel-valley,51336281.70555075,Angeles National Forest,1804227099.485049,19380.804091100978,3.775264481027932e-4,1.0741887258334897e-5
La Canada Flintridge,verdugos,22320883.37610403,Angeles National Forest,1804227099.485049,15877.674797207117,7.11337205148664e-4,8.80026400320604e-6
La Crescenta-Montrose,verdugos,8833348.462534633,Angeles National Forest,1804227099.485049,798.4218570932142,9.038722523849306e-5,4.4252846957076223e-7
Lake View Terrace,san-fernando-valley,10722491.18417922,Angeles National Forest,1804227099.485049,1606682.2067871056,0.14984225020000266,8.905099625461088e-4
La Verne,pomona-valley,22523263.32451247,Angeles National Forest,1804227099.485049,6159.366257948682,2.734668670878315e-4,3.413853089617515e-6
Lopez/Kagel Canyons,angeles-forest,9283713.291674804,Angeles National Forest,1804227099.485049,178943.56338985896,0.01927499888975752,9.918017717444322e-5
Monrovia,san-gabriel-valley,35560176.2198314,Angeles National Forest,1804227099.485049,1492.39674539119,4.1968204436481445e-5,8.271667939236365e-7
Pasadena,verdugos,64314783.32704249,Angeles National Forest,1804227099.485049,194079.73597123084,0.003017653577161722,1.07569460644186e-4
San Dimas,san-gabriel-valley,41988268.21237375,Angeles National Forest,1804227099.485049,166.32150522283155,3.961142297691081e-6,9.218435155435919e-8
Santa Clarita,northwest-county,147427911.912163,Angeles National Forest,1804227099.485049,129985.14898638305,8.816861563082283e-4,7.20447825129567e-5
Sierra Madre,san-gabriel-valley,7668358.396717424,Angeles National Forest,1804227099.485049,9863.329859037884,0.0012862374642348558,5.466789553184858e-6
Southeast Antelope Valley,antelope-valley,507229784.5930691,Angeles National Forest,1804227099.485049,191581063.0002709,0.37770073607560134,0.10618456127554605
Sunland,verdugos,10232871.152342401,Angeles National Forest,1804227099.485049,2365899.932590686,0.2312058753958911,0.0013113093874191036
Sylmar,san-fernando-valley,32227978.682179194,Angeles National Forest,1804227099.485049,19069.83831237269,5.917168588335191e-4,1.0569533246571609e-5
Tujunga Canyons,angeles-forest,599645333.4090312,Angeles National Forest,1804227099.485049,498349262.07381,0.8310733600487725,0.2762120479268079
Tujunga,verdugos,25572254.930563428,Angeles National Forest,1804227099.485049,9927686.242095849,0.3882209945525955,0.005502459332824203
Unincorporated Santa Susana Mountains,northwest-county,203809981.03439736,Angeles National Forest,1804227099.485049,28905.6028684111,1.418262379580549e-4,1.6021044621633914e-5
Chinatown,central-la,2385199.3494055048,Angelino Heights,388312.56184597104,0.0020302222210375476,8.511750690958251e-10,5.2283197107665555e-9
Downtown,central-la,15111071.270691607,Angelino Heights,388312.56184597104,36993.07206830871,0.002448077400048925,0.09526622546654175
Echo Park,central-la,6198664.451533688,Angelino Heights,388312.56184597104,350880.6543184174,0.056605847446961205,0.9036036656923774
Arcadia,san-gabriel-valley,28824134.032376733,Arcadia,31126201.36672851,28742593.743605927,0.997171110546488,0.9234211847748799
East Pasadena,san-gabriel-valley,3425306.2351153903,Arcadia,31126201.36672851,2.4806269622912964,7.24205893435315e-7,7.969578211824118e-8
East San Gabriel,san-gabriel-valley,5721055.127840132,Arcadia,31126201.36672851,381.19325370327806,6.662988647815911e-5,1.2246700110047607e-5
El Monte,san-gabriel-valley,25052046.164722383,Arcadia,31126201.36672851,4377.230460703252,1.7472546681105634e-4,1.4062848238790136e-4
Irwindale,san-gabriel-valley,24899686.784354176,Arcadia,31126201.36672851,11.469501366531404,4.606283390575946e-7,3.684838130871764e-7
Mayflower Village,san-gabriel-valley,3156583.33461947,Arcadia,31126201.36672851,1239528.8317632608,0.3926805347316096,0.039822682413415876
Monrovia,san-gabriel-valley,35560176.2198314,Arcadia,31126201.36672851,29336.379832042527,8.249784717231534e-4,9.424979131376062e-4
North El Monte,san-gabriel-valley,1101270.5597631806,Arcadia,31126201.36672851,1097787.0407925197,0.9968368182189398,0.03526890505713841
Sierra Madre,san-gabriel-valley,7668358.396717424,Arcadia,31126201.36672851,4691.450948847809,6.117933860337133e-4,1.5072353010806534e-4
Temple City,san-gabriel-valley,10316217.514399175,Arcadia,31126201.36672851,5878.641029138091,5.698446180426884e-4,1.888647111119027e-4
Arleta,san-fernando-valley,8090819.469061397,Arleta,7399577.176002067,7349174.305923933,0.9083349757124786,0.99318841213771
Mission Hills,san-fernando-valley,8306210.236973517,Arleta,7399577.176002067,352.71578909642994,4.2464105655113644e-5,4.766701944002151e-5
Pacoima,san-fernando-valley,18528176.39551494,Arleta,7399577.176002067,44371.81937259082,0.002394829281921764,0.005996534439358948
Panorama City,san-fernando-valley,9447617.814620052,Arleta,7399577.176002067,1903.5765908776411,2.014874678706715e-4,2.5725477896915844e-4
Sun Valley,san-fernando-valley,24242908.278338905,Arleta,7399577.176002067,0.29093046474736184,1.2000642060231233e-8,3.931717418812696e-8
