csa.hood.name,mapla.region.slug,top.region.pct.csa,population
Figueroa Park Square,south-la,1.0048170610544496,8721
West Carson,harbor,1.0017472697609144,22086
Melrose,central-la,1.0014436973677154,77696
Chinatown,central-la,1.001372890614952,8021
Thai Town,central-la,1.0012412929151269,9809
El Camino Village,south-bay,1.0011440856566864,8791
Universal City,san-fernando-valley,1.0009615337786242,0
Park La Brea,central-la,1.0009561349211245,13580
West Puente Valley,san-gabriel-valley,1.0009365941125026,9835
Westlake,central-la,1.0008830069159635,59355
Avocado Heights,san-gabriel-valley,1.0008035015931676,6775
East Hollywood,central-la,1.0007020440873204,29287
Vermont Vista,south-la,1.0006779080183996,41186
Lafayette Square,central-la,1.0006568897540287,4559
Northeast San Gabriel,san-gabriel-valley,1.000624748732278,24036
South Park,south-la,1.0005970451168569,37961
Mission Hills,san-fernando-valley,1.0005365828109452,24124
Miracle Mile,central-la,1.0004933863982797,17985
Victoria Park,central-la,1.0004458583500602,8399
Green Meadows,south-la,1.000408579934847,21505
Canoga Park,san-fernando-valley,1.0003975343440723,65289
Lawndale,south-bay,1.0003830081346243,33614
Hawthorne,south-bay,1.0003624544448946,91301
Reseda Ranch,san-fernando-valley,1.0003324252472343,4636
Norwalk,southeast,1.0003178521896454,107622
Vermont Knolls,south-la,1.0003067735273954,17200
Winnetka,san-fernando-valley,1.0002683155027647,51786
Temple City,san-gabriel-valley,1.0002678509700795,36455
Littlerock,antelope-valley,1.0002560642753526,4021
Harvard Park,south-la,1.0002530382388357,37935
Downey,southeast,1.000246390427666,114263
Panorama City,san-fernando-valley,1.0002307428909836,75250
Manchester Square,south-la,1.000166247903701,8536
Cheviot Hills,westside,1.0001511589091785,9171
Westlake Village,santa-monica-mountains,1.0001319121861547,8360
San Gabriel,san-gabriel-valley,1.0001250382633728,40954
Century City,westside,1.0001215992134749,12792
Harbor Pines,harbor,1.000092321674593,2409
Sun Village,antelope-valley,1.000087799943526,6036
Reseda,san-fernando-valley,1.0000712086015187,76617
Quartz Hill,antelope-valley,1.000050392740572,12906
North Whittier,san-gabriel-valley,1.0000497787231368,8360
West LA,westside,1.0000466033819442,952
Irwindale,san-gabriel-valley,1.0000410461961724,1459
West Covina,san-gabriel-valley,1.0000358142347483,108235
Northridge,san-fernando-valley,1.0000328280859292,69797
Anaverde,antelope-valley,1.0000258551069012,1508
Temple-Beaudry,central-la,1.000025787874885,39482
Little Armenia,central-la,1.0000147585927301,8025
Pacoima,san-fernando-valley,1.0000134660418911,76979
La Habra Heights,san-gabriel-valley,1.0000130125800017,5455
Toluca Woods,san-fernando-valley,1.0000103044267146,1858
Central,south-la,1.0000099385874903,38992
South Gate,southeast,1.0000090286027348,98155
