mapla.region.slug,date,confirmed.cases,population,case.rate.100k,days.since.100.cases,days.since.100.cases.per.100k
angeles-forest,2020-05-12,2,3117,64.16426050689766,,
antelope-valley,2020-05-12,1049,392606,267.1889884515265,36,21
central-la,2020-05-12,4029,899384,447.9732794890725,46,35
eastside,2020-05-12,1120,289987,386.22421005079536,38,22
harbor,2020-05-12,2569,908451,282.7890552159665,46,22
northeast-la,2020-05-12,493,158395,311.2471984595473,35,28
northwest-county,2020-05-12,790,290758,271.7036160655941,38,21
pomona-valley,2020-05-12,326,230377,141.50718170650717,22,9
san-fernando-valley,2020-05-12,6419,1626168,394.73166364114894,46,27
san-gabriel-valley,2020-05-12,2621,1491496,175.7296030294416,42,14
santa-monica-mountains,2020-05-12,139,87038,159.70036076196604,20,22
south-bay,2020-05-12,1897,775751,244.53722908510593,46,28
south-la,2020-05-12,3598,843049,426.78420827259157,42,28
southeast,2020-05-12,3532,1219178,289.7033903170825,45,24
verdugos,2020-05-12,1589,462921,343.25511264341,43,29
westside,2020-05-12,1339,575038,232.85417659354687,46,36
