mapla.region.slug,date,confirmed.cases,population,case.rate.100k,days.since.100.cases,days.since.100.cases.per.100k
angeles-forest,2020-03-27,0,3117,0,,-48
angeles-forest,2020-03-28,0,3117,0,,-47
angeles-forest,2020-03-29,0,3117,0,,-46
angeles-forest,2020-03-30,0,3117,0,,-45
angeles-forest,2020-03-31,0,3117,0,,-44
angeles-forest,2020-04-01,0,3117,0,,-43
angeles-forest,2020-04-02,0,3117,0,,-42
angeles-forest,2020-04-03,0,3117,0,,-41
angeles-forest,2020-04-04,0,3117,0,,-40
angeles-forest,2020-04-05,0,3117,0,,-39
angeles-forest,2020-04-06,0,3117,0,,-38
angeles-forest,2020-04-07,0,3117,0,,-37
angeles-forest,2020-04-08,0,3117,0,,-36
angeles-forest,2020-04-09,0,3117,0,,-35
angeles-forest,2020-04-10,0,3117,0,,-34
angeles-forest,2020-04-11,0,3117,0,,-33
angeles-forest,2020-04-12,0,3117,0,,-32
angeles-forest,2020-04-13,0,3117,0,,-31
angeles-forest,2020-04-14,0,3117,0,,-30
angeles-forest,2020-04-15,0,3117,0,,-29
angeles-forest,2020-04-16,0,3117,0,,-28
angeles-forest,2020-04-17,0,3117,0,,-27
angeles-forest,2020-04-18,0,3117,0,,-26
angeles-forest,2020-04-19,0,3117,0,,-25
angeles-forest,2020-04-20,0,3117,0,,-24
angeles-forest,2020-04-21,0,3117,0,,-23
angeles-forest,2020-04-22,0,3117,0,,-22
angeles-forest,2020-04-23,0,3117,0,,-21
angeles-forest,2020-04-24,0,3117,0,,-20
angeles-forest,2020-04-25,2,3117,64.16426050689766,,-19
angeles-forest,2020-04-26,2,3117,64.16426050689766,,-18
angeles-forest,2020-04-27,2,3117,64.16426050689766,,-17
angeles-forest,2020-04-28,2,3117,64.16426050689766,,-16
angeles-forest,2020-04-29,2,3117,64.16426050689766,,-15
angeles-forest,2020-04-30,2,3117,64.16426050689766,,-14
angeles-forest,2020-05-01,2,3117,64.16426050689766,,-13
angeles-forest,2020-05-02,2,3117,64.16426050689766,,-12
angeles-forest,2020-05-03,2,3117,64.16426050689766,,-11
angeles-forest,2020-05-04,2,3117,64.16426050689766,,-10
angeles-forest,2020-05-05,1,3117,32.08213025344883,,-9
angeles-forest,2020-05-06,1,3117,32.08213025344883,,-8
angeles-forest,2020-05-07,1,3117,32.08213025344883,,-7
angeles-forest,2020-05-08,1,3117,32.08213025344883,,-6
angeles-forest,2020-05-09,1,3117,32.08213025344883,,-5
