mapla.region.slug,date,cases,population,rate.cases,new.cases,new.cases.14day,new.cases.14dayavg,rate.new.cases.14dayavg
angeles-forest,2020-04-12,4,1412,283.28611898017,,,,
angeles-forest,2020-04-13,4,1412,283.28611898017,0,,,
angeles-forest,2020-04-14,4,1412,283.28611898017,0,,,
angeles-forest,2020-04-15,4,1412,283.28611898017,0,,,
angeles-forest,2020-04-16,8,2657,301.09145652992095,4,,,
angeles-forest,2020-04-17,8,2657,301.09145652992095,0,,,
angeles-forest,2020-04-18,8,2657,301.09145652992095,0,,,
angeles-forest,2020-04-19,8,2657,301.09145652992095,0,,,
angeles-forest,2020-04-20,8,2657,301.09145652992095,0,,,
angeles-forest,2020-04-21,8,2657,301.09145652992095,0,,,
angeles-forest,2020-04-22,8,2657,301.09145652992095,0,,,
angeles-forest,2020-04-23,8,2657,301.09145652992095,0,,,
angeles-forest,2020-04-24,8,2657,301.09145652992095,0,,,
angeles-forest,2020-04-25,2,2657,75.27286413248024,-6,,,
angeles-forest,2020-04-26,2,2657,75.27286413248024,0,-2,-0.14285714285714285,-5.376633152320017
angeles-forest,2020-04-27,2,2657,75.27286413248024,0,-2,-0.14285714285714285,-5.376633152320017
angeles-forest,2020-04-28,2,2657,75.27286413248024,0,-2,-0.14285714285714285,-5.376633152320017
angeles-forest,2020-04-29,2,2657,75.27286413248024,0,-2,-0.14285714285714285,-5.376633152320017
angeles-forest,2020-04-30,2,2657,75.27286413248024,0,-6,-0.42857142857142855,-16.12989945696005
angeles-forest,2020-05-01,2,2657,75.27286413248024,0,-6,-0.42857142857142855,-16.12989945696005
angeles-forest,2020-05-02,2,2657,75.27286413248024,0,-6,-0.42857142857142855,-16.12989945696005
angeles-forest,2020-05-03,2,2657,75.27286413248024,0,-6,-0.42857142857142855,-16.12989945696005
angeles-forest,2020-05-04,2,2657,75.27286413248024,0,-6,-0.42857142857142855,-16.12989945696005
angeles-forest,2020-05-05,1,1412,70.8215297450425,-1,-7,-0.5,-35.41076487252125
angeles-forest,2020-05-06,1,1412,70.8215297450425,0,-7,-0.5,-35.41076487252125
angeles-forest,2020-05-07,1,1412,70.8215297450425,0,-7,-0.5,-35.41076487252125
angeles-forest,2020-05-08,1,1412,70.8215297450425,0,-7,-0.5,-35.41076487252125
angeles-forest,2020-05-09,1,1412,70.8215297450425,0,-1,-0.07142857142857142,-5.058680696074464
angeles-forest,2020-05-10,1,1412,70.8215297450425,0,-1,-0.07142857142857142,-5.058680696074464
angeles-forest,2020-05-11,2,1412,141.643059490085,1,0,0,0
angeles-forest,2020-05-12,2,1412,141.643059490085,0,0,0,0
angeles-forest,2020-05-13,2,1412,141.643059490085,0,0,0,0
angeles-forest,2020-05-14,4,1412,283.28611898017,2,2,0.14285714285714285,10.117361392148927
angeles-forest,2020-05-15,4,1412,283.28611898017,0,2,0.14285714285714285,10.117361392148927
angeles-forest,2020-05-16,4,1412,283.28611898017,0,2,0.14285714285714285,10.117361392148927
angeles-forest,2020-05-17,4,1412,283.28611898017,0,2,0.14285714285714285,10.117361392148927
angeles-forest,2020-05-18,4,1412,283.28611898017,0,2,0.14285714285714285,10.117361392148927
angeles-forest,2020-05-19,4,1412,283.28611898017,0,3,0.21428571428571427,15.17604208822339
angeles-forest,2020-05-20,4,1412,283.28611898017,0,3,0.21428571428571427,15.17604208822339
angeles-forest,2020-05-21,5,1412,354.10764872521247,1,4,0.2857142857142857,20.234722784297855
angeles-forest,2020-05-22,5,1412,354.10764872521247,0,4,0.2857142857142857,20.234722784297855
angeles-forest,2020-05-23,5,1412,354.10764872521247,0,4,0.2857142857142857,20.234722784297855
angeles-forest,2020-05-24,5,1412,354.10764872521247,0,4,0.2857142857142857,20.234722784297855
angeles-forest,2020-05-25,6,1412,424.929178470255,1,4,0.2857142857142857,20.234722784297855
angeles-forest,2020-05-26,7,1412,495.75070821529744,1,5,0.35714285714285715,25.29340348037232
angeles-forest,2020-05-27,7,1412,495.75070821529744,0,5,0.35714285714285715,25.29340348037232
angeles-forest,2020-05-28,8,2657,301.09145652992095,1,4,0.2857142857142857,10.753266304640034
angeles-forest,2020-05-29,8,2657,301.09145652992095,0,4,0.2857142857142857,10.753266304640034
angeles-forest,2020-05-30,9,2657,338.7278885961611,1,5,0.35714285714285715,13.441582880800043
angeles-forest,2020-05-31,9,2657,338.7278885961611,0,5,0.35714285714285715,13.441582880800043
angeles-forest,2020-06-01,9,2657,338.7278885961611,0,5,0.35714285714285715,13.441582880800043
angeles-forest,2020-06-02,9,2657,338.7278885961611,0,5,0.35714285714285715,13.441582880800043
angeles-forest,2020-06-03,9,2657,338.7278885961611,0,5,0.35714285714285715,13.441582880800043
angeles-forest,2020-06-04,10,2657,376.3643206624012,1,5,0.35714285714285715,13.441582880800043
angeles-forest,2020-06-05,10,2657,376.3643206624012,0,5,0.35714285714285715,13.441582880800043
angeles-forest,2020-06-06,10,2657,376.3643206624012,0,5,0.35714285714285715,13.441582880800043
angeles-forest,2020-06-07,10,2657,376.3643206624012,0,5,0.35714285714285715,13.441582880800043
angeles-forest,2020-06-08,10,2657,376.3643206624012,0,4,0.2857142857142857,10.753266304640034
angeles-forest,2020-06-09,10,2657,376.3643206624012,0,3,0.21428571428571427,8.064949728480025
angeles-forest,2020-06-10,10,2657,376.3643206624012,0,3,0.21428571428571427,8.064949728480025
angeles-forest,2020-06-11,10,2657,376.3643206624012,0,2,0.14285714285714285,5.376633152320017
angeles-forest,2020-06-12,10,2657,376.3643206624012,0,2,0.14285714285714285,5.376633152320017
angeles-forest,2020-06-13,11,2657,414.0007527286414,1,2,0.14285714285714285,5.376633152320017
angeles-forest,2020-06-14,11,2657,414.0007527286414,0,2,0.14285714285714285,5.376633152320017
angeles-forest,2020-06-15,11,2657,414.0007527286414,0,2,0.14285714285714285,5.376633152320017
angeles-forest,2020-06-16,11,2657,414.0007527286414,0,2,0.14285714285714285,5.376633152320017
angeles-forest,2020-06-17,11,2657,414.0007527286414,0,2,0.14285714285714285,5.376633152320017
angeles-forest,2020-06-18,11,2657,414.0007527286414,0,1,0.07142857142857142,2.6883165761600085
angeles-forest,2020-06-19,12,2657,451.6371847948814,1,2,0.14285714285714285,5.376633152320017
angeles-forest,2020-06-20,12,2657,451.6371847948814,0,2,0.14285714285714285,5.376633152320017
angeles-forest,2020-06-21,12,2657,451.6371847948814,0,2,0.14285714285714285,5.376633152320017
angeles-forest,2020-06-22,12,2657,451.6371847948814,0,2,0.14285714285714285,5.376633152320017
angeles-forest,2020-06-23,12,2657,451.6371847948814,0,2,0.14285714285714285,5.376633152320017
angeles-forest,2020-06-24,12,2657,451.6371847948814,0,2,0.14285714285714285,5.376633152320017
angeles-forest,2020-06-25,12,2657,451.6371847948814,0,2,0.14285714285714285,5.376633152320017
angeles-forest,2020-06-26,12,2657,451.6371847948814,0,2,0.14285714285714285,5.376633152320017
angeles-forest,2020-06-27,12,2657,451.6371847948814,0,1,0.07142857142857142,2.6883165761600085
angeles-forest,2020-06-28,12,2657,451.6371847948814,0,1,0.07142857142857142,2.6883165761600085
angeles-forest,2020-06-29,13,2657,489.2736168611215,1,2,0.14285714285714285,5.376633152320017
angeles-forest,2020-06-30,13,2657,489.2736168611215,0,2,0.14285714285714285,5.376633152320017
angeles-forest,2020-07-01,13,2657,489.2736168611215,0,2,0.14285714285714285,5.376633152320017
angeles-forest,2020-07-02,14,2657,526.9100489273617,1,3,0.21428571428571427,8.064949728480025
angeles-forest,2020-07-06,15,2657,564.5464809936018,1,3,0.21428571428571427,8.064949728480025
angeles-forest,2020-07-07,16,2657,602.1829130598419,1,4,0.2857142857142857,10.753266304640034
angeles-forest,2020-07-08,16,2657,602.1829130598419,0,4,0.2857142857142857,10.753266304640034
angeles-forest,2020-07-09,16,2657,602.1829130598419,0,4,0.2857142857142857,10.753266304640034
angeles-forest,2020-07-10,16,2657,602.1829130598419,0,4,0.2857142857142857,10.753266304640034
angeles-forest,2020-07-11,16,2657,602.1829130598419,0,4,0.2857142857142857,10.753266304640034
angeles-forest,2020-07-12,16,2657,602.1829130598419,0,4,0.2857142857142857,10.753266304640034
angeles-forest,2020-07-13,17,2657,639.819345126082,1,5,0.35714285714285715,13.441582880800043
angeles-forest,2020-07-14,19,2657,715.0922092585623,2,7,0.5,18.81821603312006
angeles-forest,2020-07-15,19,2657,715.0922092585623,0,7,0.5,18.81821603312006
angeles-forest,2020-07-16,20,2657,752.7286413248024,1,7,0.5,18.81821603312006
angeles-forest,2020-07-17,20,2657,752.7286413248024,0,7,0.5,18.81821603312006
angeles-forest,2020-07-18,20,2657,752.7286413248024,0,7,0.5,18.81821603312006
angeles-forest,2020-07-19,20,2657,752.7286413248024,0,6,0.42857142857142855,16.12989945696005
angeles-forest,2020-07-20,20,2657,752.7286413248024,0,5,0.35714285714285715,13.441582880800043
angeles-forest,2020-07-21,21,2657,790.3650733910425,1,5,0.35714285714285715,13.441582880800043
angeles-forest,2020-07-22,22,2657,828.0015054572827,1,6,0.42857142857142855,16.12989945696005
angeles-forest,2020-07-23,23,2657,865.6379375235227,1,7,0.5,18.81821603312006
angeles-forest,2020-07-24,23,2657,865.6379375235227,0,7,0.5,18.81821603312006
angeles-forest,2020-07-25,23,2657,865.6379375235227,0,7,0.5,18.81821603312006
angeles-forest,2020-07-26,23,2657,865.6379375235227,0,7,0.5,18.81821603312006
angeles-forest,2020-07-27,25,2657,940.9108016560031,2,8,0.5714285714285714,21.506532609280068
angeles-forest,2020-07-28,25,2657,940.9108016560031,0,6,0.42857142857142855,16.12989945696005
angeles-forest,2020-07-29,27,2657,1016.1836657884833,2,8,0.5714285714285714,21.506532609280068
angeles-forest,2020-07-30,28,2657,1053.8200978547234,1,8,0.5714285714285714,21.506532609280068
angeles-forest,2020-07-31,32,2657,1204.3658261196838,4,12,0.8571428571428571,32.2597989139201
angeles-forest,2020-08-01,34,2657,1279.638690252164,2,14,1,37.63643206624012
angeles-forest,2020-08-02,34,2657,1279.638690252164,0,14,1,37.63643206624012
angeles-forest,2020-08-03,35,2657,1317.2751223184043,1,15,1.0714285714285714,40.324748642400124
angeles-forest,2020-08-04,36,2657,1354.9115543846444,1,15,1.0714285714285714,40.324748642400124
angeles-forest,2020-08-05,37,2657,1392.5479864508843,1,15,1.0714285714285714,40.324748642400124
angeles-forest,2020-08-06,38,2657,1430.1844185171246,1,15,1.0714285714285714,40.324748642400124
angeles-forest,2020-08-07,39,2657,1467.8208505833647,1,16,1.1428571428571428,43.013065218560136
angeles-forest,2020-08-08,39,2657,1467.8208505833647,0,16,1.1428571428571428,43.013065218560136
angeles-forest,2020-08-09,39,2657,1467.8208505833647,0,16,1.1428571428571428,43.013065218560136
angeles-forest,2020-08-10,39,2657,1467.8208505833647,0,14,1,37.63643206624012
