mapla.region.slug,date,cases,population,rate.cases,new.cases,new.cases.14day,new.cases.14dayavg,rate.new.cases.14dayavg,deaths,rate.deaths
eastside,2020-12-21,29641,289987,10221.492687603237,551,8582,613,211.38878639387283,369,127.24708348994955
south-la,2020-12-21,75094,843049,8907.43005448082,1486,20961,1497.2142857142858,177.5951677440203,792,93.9447173295977
southeast,2020-12-21,103316,1219178,8474.234279161861,2005,28957,2068.3571428571427,169.65177708727867,1263,103.59438900636329
pomona-valley,2020-12-21,16442,230377,7136.997182878499,229,4661,332.92857142857144,144.5146743939592,227,98.53414186312
antelope-valley,2020-12-21,27821,392606,7086.23913032404,549,8844,631.7142857142857,160.9028608106564,244,62.148820955359824
san-fernando-valley,2020-12-21,109074,1626168,6707.425063093112,1984,29745,2124.6428571428573,130.6533431443035,1657,101.89599106611371
san-gabriel-valley,2020-12-21,82128,1491496,5506.4177175131545,1382,22801,1628.642857142857,109.19525477392209,1491,99.96674479851103
central-la,2020-12-21,48284,899384,5368.563372263683,808,12583,898.7857142857143,99.93347827910151,945,105.07191588909743
harbor,2020-12-21,48565,908451,5345.91298815236,1720,14393,1028.0714285714287,113.16751575719864,434,47.7736278566483
northeast-la,2020-12-21,8378,158395,5289.308374633038,182,2560,182.85714285714286,115.44375949818041,105,66.28997127434577
northwest-county,2020-12-21,13933,290758,4791.957572964458,252,3132,223.71428571428572,76.94174733430746,101,34.7367914210443
angeles-forest,2020-12-21,125,2657,4704.554008280015,4,46,3.2857142857142856,123.66256250336039,2,75.27286413248024
verdugos,2020-12-21,18987,462921,4101.5637657397265,346,4788,342,73.87869636503852,387,83.5995774657015
south-bay,2020-12-21,27528,775751,3548.561329601895,531,7749,553.5,71.35021417954988,447,57.621582182942724
westside,2020-12-21,15294,575038,2659.6503187615426,221,3989,284.92857142857144,49.54952045405198,240,41.736372204967324
santa-monica-mountains,2020-12-21,1636,87038,1879.6387784645788,19,348,24.857142857142858,28.558954545305337,27,31.020933385417866
