mapla.region.slug,date,recent.cases,population,recent.rate.cases
angeles-forest,2021-01-01,0,2657,0
angeles-forest,2021-01-02,4,2657,150.54572826496047
angeles-forest,2021-01-03,7,2657,263.45502446368084
angeles-forest,2021-01-04,9,2657,338.7278885961611
angeles-forest,2021-01-05,9,2657,338.7278885961611
angeles-forest,2021-01-06,10,2657,376.3643206624012
angeles-forest,2021-01-07,11,2657,414.0007527286414
angeles-forest,2021-01-08,13,2657,489.2736168611215
angeles-forest,2021-01-09,15,2657,564.5464809936018
angeles-forest,2021-01-10,16,2657,602.1829130598419
angeles-forest,2021-01-11,18,2657,677.4557771923222
angeles-forest,2021-01-12,22,2657,828.0015054572827
angeles-forest,2021-01-13,22,2657,828.0015054572827
angeles-forest,2021-01-14,25,2657,940.9108016560031
angeles-forest,2021-01-15,25,2657,940.9108016560031
antelope-valley,2021-01-01,0,392606,0
antelope-valley,2021-01-02,706,392606,179.8240475183772
antelope-valley,2021-01-03,1205,392606,306.9234805377401
antelope-valley,2021-01-04,1514,392606,385.62833986235563
antelope-valley,2021-01-05,2044,392606,520.6237296424405
antelope-valley,2021-01-06,2486,392606,633.2047905533792
antelope-valley,2021-01-07,3112,392606,792.6521754634418
antelope-valley,2021-01-08,3792,392606,965.8538076341167
antelope-valley,2021-01-09,4601,392606,1171.912808260699
antelope-valley,2021-01-10,5334,392606,1358.6139794093824
antelope-valley,2021-01-11,5839,392606,1487.241662124369
antelope-valley,2021-01-12,6445,392606,1641.594881382353
antelope-valley,2021-01-13,6861,392606,1747.5535269455893
antelope-valley,2021-01-14,7466,392606,1901.652037920969
antelope-valley,2021-01-15,7466,392606,1901.652037920969
central-la,2021-01-01,0,899384,0
central-la,2021-01-02,1038,899384,115.41232665913559
central-la,2021-01-03,1942,899384,215.92556683240974
central-la,2021-01-04,2506,899384,278.63515472812503
central-la,2021-01-05,3123,899384,347.23766489063627
central-la,2021-01-06,4231,899384,470.4330964304457
central-la,2021-01-07,5710,899384,634.8789838378267
central-la,2021-01-08,7033,899384,781.9796660825632
central-la,2021-01-09,8264,899384,918.8511247698424
central-la,2021-01-10,9373,899384,1042.157743522233
central-la,2021-01-11,10323,899384,1147.7855954742356
central-la,2021-01-12,11260,899384,1251.9680136626846
central-la,2021-01-13,12218,899384,1358.485363315336
central-la,2021-01-14,13738,899384,1527.4899264385401
central-la,2021-01-15,13738,899384,1527.4899264385401
eastside,2021-01-01,0,289987,0
eastside,2021-01-02,709,289987,244.493718683941
eastside,2021-01-03,1311,289987,452.08923158624356
eastside,2021-01-04,1811,289987,624.5107539303486
eastside,2021-01-05,2223,289987,766.5860883418912
eastside,2021-01-06,2666,289987,919.3515571387683
eastside,2021-01-07,3492,289987,1204.19191205123
eastside,2021-01-08,4287,289987,1478.342132578357
eastside,2021-01-09,5082,289987,1752.492353105484
eastside,2021-01-10,5630,289987,1941.4663415946231
eastside,2021-01-11,6258,289987,2158.027773658819
eastside,2021-01-12,6717,289987,2316.3107311707076
eastside,2021-01-13,7237,289987,2495.629114408577
eastside,2021-01-14,8051,289987,2776.33135278478
eastside,2021-01-15,8051,289987,2776.33135278478
harbor,2021-01-01,0,908451,0
harbor,2021-01-02,1610,908451,177.22474850046947
harbor,2021-01-03,2043,908451,224.8882988735771
harbor,2021-01-04,4241,908451,466.83860769595714
harbor,2021-01-05,5147,908451,566.568807783799
harbor,2021-01-06,6818,908451,750.508282780249
harbor,2021-01-07,8064,908451,887.6648272719168
harbor,2021-01-08,-28578,441097,-6478.847056316411
harbor,2021-01-09,-27958,441097,-6338.28840368445
harbor,2021-01-10,-27372,441097,-6205.437806196823
harbor,2021-01-11,-26922,441097,-6103.419429286529
harbor,2021-01-12,-26517,441097,-6011.6028900672645
harbor,2021-01-13,-26054,441097,-5906.6373156017835
harbor,2021-01-14,-25353,441097,-5747.71535512597
harbor,2021-01-15,-25353,441097,-5747.71535512597
northeast-la,2021-01-01,0,158395,0
northeast-la,2021-01-02,316,158395,199.501246882793
northeast-la,2021-01-03,553,158395,349.1271820448878
northeast-la,2021-01-04,726,158395,458.34780138261937
northeast-la,2021-01-05,866,158395,546.7344297484137
northeast-la,2021-01-06,1021,158395,644.5910540105433
northeast-la,2021-01-07,1373,158395,866.8202910445405
northeast-la,2021-01-08,1656,158395,1045.4875469553965
northeast-la,2021-01-09,1916,158395,1209.6341424918717
northeast-la,2021-01-10,2113,158395,1334.0067552637393
northeast-la,2021-01-11,2315,158395,1461.5360333343856
northeast-la,2021-01-12,2493,158395,1573.9133179708956
northeast-la,2021-01-13,2676,158395,1689.447267906184
northeast-la,2021-01-14,2963,158395,1870.6398560560624
northeast-la,2021-01-15,2963,158395,1870.6398560560624
northwest-county,2021-01-01,0,290758,0
northwest-county,2021-01-02,327,290758,112.46466133348007
northwest-county,2021-01-03,517,290758,177.81110064039513
northwest-county,2021-01-04,747,290758,256.9146850645554
northwest-county,2021-01-05,960,290758,330.1714828138865
northwest-county,2021-01-06,1286,290758,442.2922155194354
northwest-county,2021-01-07,1634,290758,561.9793780394692
northwest-county,2021-01-08,1955,290758,672.3804676053626
northwest-county,2021-01-09,2260,290758,777.2786991243577
northwest-county,2021-01-10,2609,290758,897.3097902723227
northwest-county,2021-01-11,2869,290758,986.7312335344169
northwest-county,2021-01-12,3080,290758,1059.3001740278858
northwest-county,2021-01-13,3297,290758,1133.9326862889413
northwest-county,2021-01-14,3654,290758,1256.7152064603554
northwest-county,2021-01-15,3654,290758,1256.7152064603554
pomona-valley,2021-01-01,0,230377,0
pomona-valley,2021-01-02,436,230377,189.2550037547151
pomona-valley,2021-01-03,645,230377,279.9758656463102
pomona-valley,2021-01-04,846,230377,367.224158661672
pomona-valley,2021-01-05,1158,230377,502.6543448347708
pomona-valley,2021-01-06,1429,230377,620.287615517174
pomona-valley,2021-01-07,1733,230377,752.2452328140396
pomona-valley,2021-01-08,2197,230377,953.6542276355713
pomona-valley,2021-01-09,2491,230377,1081.271133837145
pomona-valley,2021-01-10,2873,230377,1247.0862976772855
pomona-valley,2021-01-11,3145,230377,1365.153639469218
pomona-valley,2021-01-12,3458,230377,1501.017896751846
pomona-valley,2021-01-13,3717,230377,1613.4423141198993
pomona-valley,2021-01-14,3948,230377,1713.7127404211358
pomona-valley,2021-01-15,3948,230377,1713.7127404211358
san-fernando-valley,2021-01-01,0,1626168,0
san-fernando-valley,2021-01-02,2365,1626168,145.43392810582918
san-fernando-valley,2021-01-03,4615,1626168,283.79601615577235
san-fernando-valley,2021-01-04,6233,1626168,383.29373102902036
san-fernando-valley,2021-01-05,8431,1626168,518.458117488476
san-fernando-valley,2021-01-06,10241,1626168,629.7627305419858
san-fernando-valley,2021-01-07,13979,1626168,859.6282794889581
san-fernando-valley,2021-01-08,17032,1626168,1047.3702594073923
san-fernando-valley,2021-01-09,19793,1626168,1217.1559150100113
san-fernando-valley,2021-01-10,21704,1626168,1334.6714484604297
san-fernando-valley,2021-01-11,23973,1626168,1474.201927476128
san-fernando-valley,2021-01-12,26104,1626168,1605.2461984247627
san-fernando-valley,2021-01-13,27885,1626168,1714.7674778989624
san-fernando-valley,2021-01-14,31326,1626168,1926.3692312233422
san-fernando-valley,2021-01-15,31326,1626168,1926.3692312233422
san-gabriel-valley,2021-01-01,0,1491496,0
san-gabriel-valley,2021-01-02,2328,1491496,156.08489731115603
san-gabriel-valley,2021-01-03,3854,1491496,258.39827931151
san-gabriel-valley,2021-01-04,4992,1491496,334.6975117600047
san-gabriel-valley,2021-01-05,6577,1491496,440.9666536148941
san-gabriel-valley,2021-01-06,7944,1491496,532.6195980411613
san-gabriel-valley,2021-01-07,10141,1491496,679.9213675397051
san-gabriel-valley,2021-01-08,12446,1491496,834.4641889753644
san-gabriel-valley,2021-01-09,14481,1491496,970.9043805682347
san-gabriel-valley,2021-01-10,16302,1491496,1092.9965618412655
san-gabriel-valley,2021-01-11,18088,1491496,1212.7421059124529
san-gabriel-valley,2021-01-12,19710,1491496,1321.4919785235763
san-gabriel-valley,2021-01-13,21464,1491496,1439.0920257245075
san-gabriel-valley,2021-01-14,23224,1491496,1557.0943535886117
san-gabriel-valley,2021-01-15,23224,1491496,1557.0943535886117
santa-monica-mountains,2021-01-01,0,87038,0
santa-monica-mountains,2021-01-02,34,87038,39.06339759645213
santa-monica-mountains,2021-01-03,53,87038,60.89294331211655
santa-monica-mountains,2021-01-04,68,87038,78.12679519290425
santa-monica-mountains,2021-01-05,96,87038,110.2966520370413
santa-monica-mountains,2021-01-06,112,87038,128.67942737654818
santa-monica-mountains,2021-01-07,167,87038,191.87021760610307
santa-monica-mountains,2021-01-08,214,87038,245.86962016590456
santa-monica-mountains,2021-01-09,254,87038,291.8265585146718
santa-monica-mountains,2021-01-10,290,87038,333.18780302856226
santa-monica-mountains,2021-01-11,331,87038,380.2936648360486
santa-monica-mountains,2021-01-12,352,87038,404.42105746915144
santa-monica-mountains,2021-01-13,373,87038,428.5484501022542
santa-monica-mountains,2021-01-14,435,87038,499.78170454284333
santa-monica-mountains,2021-01-15,435,87038,499.78170454284333
south-bay,2021-01-01,0,775751,0
south-bay,2021-01-02,779,775751,100.41881995640352
south-bay,2021-01-03,1352,775751,174.28272731843077
south-bay,2021-01-04,1799,775751,231.9043095013735
south-bay,2021-01-05,2349,775751,302.8033479815044
south-bay,2021-01-06,2845,775751,366.7413899563133
south-bay,2021-01-07,3720,775751,479.53531481106694
south-bay,2021-01-08,4609,775751,594.1339424634966
south-bay,2021-01-09,5517,775751,711.1818096270581
south-bay,2021-01-10,6252,775751,805.9287065050512
south-bay,2021-01-11,6871,775751,885.7223516308712
south-bay,2021-01-12,7433,775751,958.1682782232958
south-bay,2021-01-13,8030,775751,1035.1259618099107
south-bay,2021-01-14,8889,775751,1145.857369181606
south-bay,2021-01-15,8889,775751,1145.857369181606
south-la,2021-01-01,0,843049,0
south-la,2021-01-02,1870,843049,221.81391591710565
south-la,2021-01-03,3483,843049,413.1432455290262
south-la,2021-01-04,4550,843049,539.7076563758453
south-la,2021-01-05,5727,843049,679.319944629553
south-la,2021-01-06,6961,843049,825.6934057213757
south-la,2021-01-07,9100,843049,1079.4153127516906
south-la,2021-01-08,11469,843049,1360.4191452691362
south-la,2021-01-09,13458,843049,1596.3484921991487
south-la,2021-01-10,14957,843049,1774.155476134839
south-la,2021-01-11,16422,843049,1947.9294797811276
south-la,2021-01-12,17824,843049,2114.2306081852894
south-la,2021-01-13,19223,843049,2280.175885387445
south-la,2021-01-14,21182,843049,2512.5467202973964
south-la,2021-01-15,21182,843049,2512.5467202973964
southeast,2021-01-01,0,1219178,0
southeast,2021-01-02,3026,1219178,248.2000167325854
southeast,2021-01-03,4803,1219178,393.9539591429635
southeast,2021-01-04,6321,1219178,518.4640798964548
southeast,2021-01-05,8502,1219178,697.3551031924789
southeast,2021-01-06,10161,1219178,833.4303932649703
southeast,2021-01-07,13027,1219178,1068.506813607201
southeast,2021-01-08,15773,1219178,1293.7405366566654
southeast,2021-01-09,18545,1219178,1521.1068441195625
southeast,2021-01-10,20769,1219178,1703.5248339454943
southeast,2021-01-11,22936,1219178,1881.2675425573625
southeast,2021-01-12,24773,1219178,2031.9428336141236
southeast,2021-01-13,26753,1219178,2194.3473389447645
southeast,2021-01-14,29077,1219178,2384.967576514668
southeast,2021-01-15,29077,1219178,2384.967576514668
verdugos,2021-01-01,0,462921,0
verdugos,2021-01-02,419,462921,90.51220402617294
verdugos,2021-01-03,693,462921,149.70156895020963
verdugos,2021-01-04,1069,462921,230.92493103574907
