mapla.region.slug,date,recent.cases,population,recent.rate.cases
eastside,2020-12-21,8136,289987,2805.6430115832777
south-la,2020-12-21,20115,843049,2385.9823094505778
southeast,2020-12-21,27535,1219178,2258.4889163026237
antelope-valley,2020-12-21,8315,392606,2117.899369851709
pomona-valley,2020-12-21,4280,230377,1857.824348784818
san-fernando-valley,2020-12-21,28335,1626168,1742.4398955089512
angeles-forest,2020-12-21,43,2657,1618.3665788483252
northeast-la,2020-12-21,2419,158395,1527.1946715489755
harbor,2020-12-21,13299,908451,1463.9204536072943
san-gabriel-valley,2020-12-21,21644,1491496,1451.1604456196999
central-la,2020-12-21,12049,899384,1339.6947243891375
northwest-county,2020-12-21,2983,290758,1025.939097118566
verdugos,2020-12-21,4489,462921,969.7118946861344
south-bay,2020-12-21,7420,775751,956.492482768311
westside,2020-12-21,3767,575038,655.087142067133
santa-monica-mountains,2020-12-21,338,87038,388.33612904708286
