"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","population"
"1","City of Agoura Hills",81,388,355,1,5,5,20883
"2","City of Alhambra",650,750,737,13,15,10,86724
"3","City of Arcadia",237,410,398,11,19,13,57754
"4","City of Artesia",172,1024,979,2,12,7,16795
"5","City of Avalon",5,129,151,0,0,0,3869
"6","City of Azusa",733,1465,1472,9,18,21,50040
"7","City of Baldwin Park",1429,1861,1842,35,46,50,76769
"8","City of Bell",857,2359,2410,24,66,93,36332
"9","City of Bell Gardens",1019,2366,2439,12,28,46,43071
"10","City of Bellflower",1279,1645,1641,38,49,55,77735
"11","City of Beverly Hills",425,1231,1212,8,23,12,34520
"12","City of Bradbury",7,655,694,0,0,0,1069
"13","City of Burbank",763,712,645,49,46,35,107180
"14","City of Calabasas",159,654,600,11,45,38,24323
"15","City of Carson",925,986,949,33,35,28,93846
"16","City of Cerritos",330,659,689,7,14,9,50067
"17","City of Claremont",180,493,518,3,8,5,36484
"18","City of Commerce",299,2288,2268,2,15,13,13069
"19","City of Compton",2073,2075,2077,27,27,35,99904
"20","City of Covina",700,1428,1430,12,24,23,49032
"21","City of Cudahy",613,2518,2562,10,41,66,24347
"22","City of Culver City",266,667,618,27,68,46,39865
"23","City of Diamond Bar",289,502,489,4,7,5,57515
"24","City of Downey",2378,2081,2033,55,48,47,114263
"25","City of Duarte",270,1226,1109,22,100,62,22016
"26","City of El Monte",2296,1958,1942,69,59,60,117269
"27","City of El Segundo",82,488,469,0,0,0,16786
"28","City of Gardena",666,1086,1063,32,52,35,61310
"29","City of Glendale",1821,882,782,120,58,40,206493
"30","City of Glendora",671,1272,1182,15,28,22,52764
"31","City of Hawaiian Gardens",271,1847,1810,1,7,8,14676
"32","City of Hawthorne",1002,1129,1117,27,30,35,88787
"33","City of Hermosa Beach",124,630,606,2,10,13,19670
"34","City of Hidden Hills",5,265,133,0,0,0,1890
"35","City of Huntington Park",1598,2686,2686,25,42,54,59484
"36","City of Industry",21,4805,4330,2,458,556,437
"37","City of Inglewood",1432,1261,1248,68,60,64,113582
"38","City of Irwindale",34,2330,2323,0,0,0,1459
"39","City of La Canada Flintridge",95,459,510,6,29,17,20693
"40","City of La Habra Heights",19,348,297,0,0,0,5455
"41","City of La Mirada",487,982,923,21,42,29,49599
"42","City of La Puente",740,1818,1773,5,12,12,40697
"43","City of La Verne",197,592,606,2,6,3,33282
"44","City of Lakewood",688,856,853,8,10,8,80362
"45","City of Lancaster",1550,959,965,21,13,15,161570
"46","City of Lawndale",308,916,887,8,24,32,33614
"47","City of Lomita",117,564,548,7,34,24,20729
"48","City of Lynwood",1833,2544,2684,66,92,147,72047
