date,cases,deaths,new.cases,new.deaths,december.cum.cases,december.cum.deaths
2020-04-21,15,1,,,,
2020-04-22,17,1,2,0,,
2020-04-23,17,1,0,0,,
2020-04-24,21,1,4,0,,
2020-04-25,22,1,1,0,,
2020-04-26,22,1,0,0,,
2020-04-27,22,1,0,0,,
2020-04-28,23,1,1,0,,
2020-04-29,23,1,0,0,,
2020-04-30,43,1,20,0,,
2020-05-01,43,1,0,0,,
2020-05-02,47,1,4,0,,
2020-05-03,52,1,5,0,,
2020-05-04,58,1,6,0,,
2020-05-05,59,1,1,0,,
2020-05-06,59,1,0,0,,
2020-05-07,59,1,0,0,,
2020-05-08,59,1,0,0,,
2020-05-09,59,1,0,0,,
2020-05-10,59,1,0,0,,
2020-05-11,59,1,0,0,,
2020-05-12,59,1,0,0,,
2020-05-13,59,11,0,10,,
2020-05-14,62,12,3,1,,
2020-05-15,62,14,0,2,,
2020-05-16,62,16,0,2,,
2020-05-17,62,17,0,1,,
2020-05-18,66,17,4,0,,
2020-05-19,66,18,0,1,,
2020-05-20,66,18,0,0,,
2020-05-21,67,18,1,0,,
2020-05-22,67,18,0,0,,
2020-05-23,67,18,0,0,,
2020-05-24,67,18,0,0,,
2020-05-25,68,18,1,0,,
2020-05-26,68,18,0,0,,
2020-05-27,69,19,1,1,,
2020-05-28,72,19,3,0,,
2020-05-29,73,19,1,0,,
2020-05-30,73,19,0,0,,
2020-05-31,74,19,1,0,,
2020-06-01,74,19,0,0,,
2020-06-02,74,20,0,1,,
2020-06-03,74,20,0,0,,
2020-06-04,74,20,0,0,,
2020-06-05,75,20,1,0,,
2020-06-06,75,20,0,0,,
2020-06-07,76,20,1,0,,
2020-06-08,76,20,0,0,,
2020-06-09,76,20,0,0,,
2020-06-10,76,22,0,2,,
2020-06-11,76,22,0,0,,
2020-06-12,76,22,0,0,,
2020-06-13,79,22,3,0,,
2020-06-14,80,22,1,0,,
2020-06-15,80,22,0,0,,
2020-06-16,80,22,0,0,,
2020-06-17,80,22,0,0,,
2020-06-18,81,22,1,0,,
2020-06-19,81,23,0,1,,
2020-06-20,81,23,0,0,,
2020-06-21,82,24,1,1,,
2020-06-22,82,25,0,1,,
2020-06-23,85,25,3,0,,
2020-06-24,85,25,0,0,,
2020-06-25,89,26,4,1,,
2020-06-26,90,26,1,0,,
2020-06-27,91,26,1,0,,
2020-06-28,91,26,0,0,,
2020-06-29,91,26,0,0,,
2020-06-30,92,26,1,0,,
2020-07-01,94,27,2,1,,
2020-07-02,95,27,1,0,,
2020-07-03,95,28,0,1,,
2020-07-04,95,28,0,0,,
2020-07-05,95,28,0,0,,
2020-07-06,95,28,0,0,,
2020-07-07,95,28,0,0,,
2020-07-08,95,28,0,0,,
2020-07-09,95,29,0,1,,
2020-07-10,97,29,2,0,,
2020-07-11,97,29,0,0,,
2020-07-12,97,29,0,0,,
2020-07-13,97,31,0,2,,
2020-07-14,97,31,0,0,,
2020-07-15,97,31,0,0,,
2020-07-16,97,31,0,0,,
